"GEO_ID","NAME","B07011_001E","B07011_001M","B07011_002E","B07011_002M","B07011_003E","B07011_003M","B07011_004E","B07011_004M","B07011_005E","B07011_005M","B07011_006E","B07011_006M"
"id","Geographic Area Name","Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Margin of Error!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Estimate!!Median income in the past 12 months --!!Total:!!Moved within same county","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved within same county","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from abroad","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from abroad"
"0500000US51640","Galax city, Virginia","20318","2926","20728","3221","-","**","13672","9936","31172","4953","-","**"
"0500000US51650","Hampton city, Virginia","30458","704","31421","858","24079","4162","31147","2254","20615","3252","30992","9368"
"0500000US51660","Harrisonburg city, Virginia","18223","1386","23088","1299","13338","3323","5533","1466","9603","5571","-","**"
"0500000US51670","Hopewell city, Virginia","25362","2119","26456","2089","21202","12530","18568","1494","22917","19319","-","**"
"0500000US51678","Lexington city, Virginia","8641","3913","12764","3817","3649","1519","7231","5001","2597","1362","-","**"
"0500000US51680","Lynchburg city, Virginia","20819","754","23419","1338","17714","3029","15593","2520","7990","1691","-","**"
"0500000US51683","Manassas city, Virginia","37783","1608","39202","1733","33483","8236","33818","5553","31837","15643","11250","4068"
"0500000US51685","Manassas Park city, Virginia","36904","5988","37449","5997","-","**","23170","7665","-","**","-","**"
"0500000US51690","Martinsville city, Virginia","22126","1434","22494","1436","15203","9567","21394","6011","27878","13853","-","**"
"0500000US51700","Newport News city, Virginia","29837","854","31198","674","25039","3806","22005","2704","21861","1141","27358","11895"
"0500000US51710","Norfolk city, Virginia","26694","424","28460","807","25077","1209","20716","1559","23918","916","27049","3015"
"0500000US51720","Norton city, Virginia","19756","3984","22733","5479","-","**","15548","6758","17885","10469","-","**"
"0500000US51730","Petersburg city, Virginia","22893","1346","23224","1392","15613","2079","26784","6964","36250","7486","33542","15086"
"0500000US51735","Poquoson city, Virginia","41388","5766","43526","3789","30250","15868","34130","23828","31602","5335","-","**"
"0500000US51740","Portsmouth city, Virginia","27350","765","28634","1204","22054","1838","25817","1909","22110","4569","38217","11320"
"0500000US51750","Radford city, Virginia","12919","1526","17164","3515","5605","3653","5075","1886","10383","3083","-","**"
"0500000US51760","Richmond city, Virginia","26454","474","27949","859","21805","1330","20714","1898","22724","4600","9798","5729"
"0500000US51770","Roanoke city, Virginia","25057","798","25848","936","18123","2786","24359","4518","26483","4294","14754","12424"
"0500000US51775","Salem city, Virginia","29356","1805","30952","1658","24375","15313","17106","9748","14375","8936","-","**"
"0500000US51790","Staunton city, Virginia","29164","2646","31888","2373","22560","4942","25417","2929","15078","7731","11500","6582"
"0500000US51800","Suffolk city, Virginia","36375","1266","36888","1415","21870","2576","45448","6950","32500","14408","60488","33570"
"0500000US51810","Virginia Beach city, Virginia","37350","588","38871","557","34073","2184","31200","1833","26888","1574","28950","4756"
"0500000US51820","Waynesboro city, Virginia","28523","2867","28882","2717","22244","8624","31910","10016","20925","17169","-","**"
"0500000US51830","Williamsburg city, Virginia","16302","2659","26560","4544","3595","620","6357","1236","4393","1705","5568","5255"
"0500000US51840","Winchester city, Virginia","28202","1718","29078","2512","25733","4496","26381","2431","26300","5076","34844","20209"
"0500000US53001","Adams County, Washington","24178","1603","24502","1570","14963","6857","32656","7507","30417","11772","25743","7097"
"0500000US53003","Asotin County, Washington","27238","1713","28588","2210","25781","6327","27440","12063","20775","1371","-","**"
"0500000US53005","Benton County, Washington","33590","1105","35169","828","29933","1695","27843","3870","27078","8589","9693","8321"
"0500000US53007","Chelan County, Washington","28892","1422","29873","1356","23622","5088","26205","2893","24315","3070","20662","10290"
"0500000US53009","Clallam County, Washington","27638","1194","28667","1352","21582","2165","19456","5089","29102","4796","-","**"
"0500000US53011","Clark County, Washington","36268","502","37451","524","32624","1582","25040","2682","32007","1464","19659","8401"
"0500000US53013","Columbia County, Washington","31349","4164","32017","3873","33750","18742","-","**","-","**","-","**"
"0500000US53015","Cowlitz County, Washington","27688","1056","28888","1191","24037","3375","23887","5927","21504","3155","21563","14297"
"0500000US53017","Douglas County, Washington","30106","1119","30458","1047","24250","3841","29848","6240","45107","30933","9511","9378"
"0500000US53019","Ferry County, Washington","23052","2251","24681","2450","24844","7461","17470","4582","17917","11427","-","**"
"0500000US53021","Franklin County, Washington","28942","1202","30267","948","26205","1921","23443","5483","15673","7279","10383","9413"
"0500000US53023","Garfield County, Washington","27941","2947","30117","3498","19609","14068","20250","14796","-","**","-","**"
"0500000US53025","Grant County, Washington","26262","718","27166","810","22209","2283","19640","5361","16404","6166","15125","9347"
"0500000US53027","Grays Harbor County, Washington","26117","837","27136","1029","23235","2805","18224","6364","18974","5627","25353","950"
"0500000US53029","Island County, Washington","33871","1243","35033","1214","31013","1898","36591","5943","25519","2312","36625","21377"
"0500000US53031","Jefferson County, Washington","29678","1860","30808","1283","25202","6300","22813","6458","26594","6779","-","**"
"0500000US53033","King County, Washington","45489","415","47402","452","41854","842","30209","1656","41410","1360","25282","4450"
"0500000US53035","Kitsap County, Washington","36449","622","37776","759","30940","1157","30787","4572","30868","2140","27882","15398"
"0500000US53037","Kittitas County, Washington","25786","1543","32137","1466","17162","3434","9652","2142","22467","3729","8958","7867"
"0500000US53039","Klickitat County, Washington","26430","2562","28097","2435","11853","3446","25323","4490","14310","8067","21500","691"
"0500000US53041","Lewis County, Washington","26381","821","27425","1046","20970","2264","17387","5029","19794","2780","7788","3534"
"0500000US53043","Lincoln County, Washington","29446","1936","29531","2098","25625","8114","37632","8959","24250","14103","-","**"
"0500000US53045","Mason County, Washington","28386","1410","29455","1419","19589","4500","31005","5617","22242","9258","16964","12238"
"0500000US53047","Okanogan County, Washington","24978","984","25905","997","21862","1817","22259","8641","14253","3003","12560","3437"
"0500000US53049","Pacific County, Washington","24234","1071","24732","1223","22985","5656","22952","3066","19189","4492","-","**"
"0500000US53051","Pend Oreille County, Washington","27528","2855","28730","3013","16771","7413","23897","4928","27647","15339","-","**"
"0500000US53053","Pierce County, Washington","36273","391","37232","399","31592","603","34216","2913","29680","2191","27413","4610"
"0500000US53055","San Juan County, Washington","33216","1396","34837","1319","27028","3525","32000","15625","29286","2484","-","**"
"0500000US53057","Skagit County, Washington","32180","682","33113","1114","28604","2296","26127","4419","28750","6927","-","**"
"0500000US53059","Skamania County, Washington","31344","1168","31681","1259","17933","10344","29856","8704","44000","16933","-","**"
"0500000US53061","Snohomish County, Washington","40501","467","41520","454","35779","1482","41126","2077","31650","2886","16939","3962"
"0500000US53063","Spokane County, Washington","30173","305","31663","354","24807","1207","15797","1411","23430","1793","26714","2304"
"0500000US53065","Stevens County, Washington","25440","1213","25727","1329","21086","3540","30234","5908","20938","11718","50469","32887"
"0500000US53067","Thurston County, Washington","37076","700","38654","841","31614","1696","27357","1902","30257","2857","36761","5203"
"0500000US53069","Wahkiakum County, Washington","26813","2041","26495","1804","-","**","-","**","-","**","-","**"
"0500000US53071","Walla Walla County, Washington","28051","1409","30921","1082","26093","6207","11882","3333","14909","5197","-","**"
"0500000US53073","Whatcom County, Washington","29769","752","31878","596","21244","1233","15319","5354","24725","4045","31982","4008"
"0500000US53075","Whitman County, Washington","17679","1083","25406","1710","11829","1413","6081","804","13452","2697","11010","7489"
"0500000US53077","Yakima County, Washington","25527","418","26059","451","22897","1453","20277","4655","23220","3255","17972","12336"
"0500000US54001","Barbour County, West Virginia","21612","1097","22414","1181","14131","5244","9535","3819","-","**","-","**"
"0500000US54003","Berkeley County, West Virginia","31811","941","32116","1136","28123","4388","30696","7800","33654","8794","21087","16531"
"0500000US54005","Boone County, West Virginia","22829","1546","23709","1516","11979","3544","20042","4388","15395","3058","-","**"
"0500000US54007","Braxton County, West Virginia","23583","2170","24770","2278","14938","6693","6438","5376","-","**","-","**"
"0500000US54009","Brooke County, West Virginia","27808","2179","29555","1940","26131","10083","7228","2544","13603","7139","-","**"
"0500000US54011","Cabell County, West Virginia","22326","821","24287","1109","15187","2273","10482","3536","15227","3806","7428","3302"
"0500000US54013","Calhoun County, West Virginia","19188","1882","19544","1837","9479","3991","-","**","2,500-","***","-","**"
"0500000US54015","Clay County, West Virginia","19222","2235","19481","2163","14883","5600","29464","12171","-","**","-","**"
"0500000US54017","Doddridge County, West Virginia","21366","2702","23855","7476","9744","6987","8605","1818","16389","7660","-","**"
"0500000US54019","Fayette County, West Virginia","22401","1079","22408","1153","22453","5119","19850","6205","26250","11973","-","**"
"0500000US54021","Gilmer County, West Virginia","18646","2782","21600","1960","10462","4094","-","**","3979","1181","-","**"
"0500000US54023","Grant County, West Virginia","23007","2794","24487","3192","-","**","14611","4809","-","**","-","**"
"0500000US54025","Greenbrier County, West Virginia","23115","1109","23852","1185","19854","5342","16946","3171","17277","7337","-","**"
"0500000US54027","Hampshire County, West Virginia","25543","1634","25338","2023","21534","9094","25417","3808","35377","6902","-","**"
"0500000US54029","Hancock County, West Virginia","25976","1025","26603","979","20804","5858","20762","7281","17772","16229","34375","6681"
"0500000US54031","Hardy County, West Virginia","24484","1759","24554","1979","25257","2997","-","**","19882","8840","-","**"
