,date,county,state,fips,cases,deaths,new_cases,emp_combined,emp_combined_inclow,revenue_all,spend_all
279594,2020-03-13,Washington,Pennsylvania,42125.0,1,0.0,0.0,0.00882,-.00456,,-0.122
279595,2020-03-14,Washington,Pennsylvania,42125.0,1,0.0,0.0,0.00747,-.00696,,-0.095700003
279596,2020-03-15,Washington,Pennsylvania,42125.0,1,0.0,0.0,0.00579,-.00941,,-0.107
279597,2020-03-16,Washington,Pennsylvania,42125.0,1,0.0,0.0,0.00369,-.012,,-0.133
279598,2020-03-17,Washington,Pennsylvania,42125.0,2,0.0,1.0,0.00111,-.0149,,-0.163
279599,2020-03-18,Washington,Pennsylvania,42125.0,2,0.0,0.0,-0.00207,-.0182,,-0.161
279600,2020-03-19,Washington,Pennsylvania,42125.0,3,0.0,1.0,-0.00593,-.0222,,-0.14800000000000002
279601,2020-03-20,Washington,Pennsylvania,42125.0,3,0.0,0.0,-0.0105,-.0268,,-0.15800001
279602,2020-03-21,Washington,Pennsylvania,42125.0,5,0.0,2.0,-0.0158,-.0326,,-0.175
279603,2020-03-22,Washington,Pennsylvania,42125.0,7,0.0,2.0,-0.0219,-.0394,,-0.22899999999999998
279604,2020-03-23,Washington,Pennsylvania,42125.0,7,0.0,0.0,-0.0288,-.0472,,-0.255
279605,2020-03-24,Washington,Pennsylvania,42125.0,9,0.0,2.0,-0.0363,-.0559,,-0.213
279606,2020-03-25,Washington,Pennsylvania,42125.0,10,0.0,1.0,-0.0444,-.0656,,-0.264
279607,2020-03-26,Washington,Pennsylvania,42125.0,12,0.0,2.0,-0.0529,-.0762,,-0.273
279608,2020-03-27,Washington,Pennsylvania,42125.0,14,0.0,2.0,-0.0618,-.0876,,-0.23999999
279609,2020-03-28,Washington,Pennsylvania,42125.0,23,0.0,9.0,-0.0709,-.0996,,-0.32899999999999996
279610,2020-03-29,Washington,Pennsylvania,42125.0,24,0.0,1.0,-0.08,-.112,,-0.34599999
279611,2020-03-30,Washington,Pennsylvania,42125.0,26,0.0,2.0,-0.0891,-.125,,-0.34799999
279612,2020-03-31,Washington,Pennsylvania,42125.0,33,0.0,7.0,-0.0982,-.138,,-0.354
279613,2020-04-01,Washington,Pennsylvania,42125.0,35,0.0,2.0,-0.107,-.151,,-0.322
279614,2020-04-02,Washington,Pennsylvania,42125.0,38,0.0,3.0,-0.116,-.165,,-0.27700001
279615,2020-04-03,Washington,Pennsylvania,42125.0,40,0.0,2.0,-0.124,-.178,,-0.30500001
279616,2020-04-04,Washington,Pennsylvania,42125.0,46,0.0,6.0,-0.132,-.191,,-0.32499999
279617,2020-04-05,Washington,Pennsylvania,42125.0,50,0.0,4.0,-0.14,-.204,,-0.289
279618,2020-04-06,Washington,Pennsylvania,42125.0,53,0.0,3.0,-0.147,-.216,,-0.31
279619,2020-04-07,Washington,Pennsylvania,42125.0,57,0.0,4.0,-0.153,-.228,,-0.30500001
279620,2020-04-08,Washington,Pennsylvania,42125.0,59,0.0,2.0,-0.16,-.239,,-0.34599999
279621,2020-04-09,Washington,Pennsylvania,42125.0,63,0.0,4.0,-0.166,-.249,,-0.315
279622,2020-04-10,Washington,Pennsylvania,42125.0,66,0.0,3.0,-0.171,-.258,,-0.244
279623,2020-04-11,Washington,Pennsylvania,42125.0,66,0.0,0.0,-0.175,-.266,,-0.245
279624,2020-04-12,Washington,Pennsylvania,42125.0,68,0.0,2.0,-0.179,-.273,,-0.289
279625,2020-04-13,Washington,Pennsylvania,42125.0,69,0.0,1.0,-0.182,-.278,,-0.31799999
279626,2020-04-14,Washington,Pennsylvania,42125.0,70,1.0,1.0,-0.185,-.282,,-0.23600000000000002
279627,2020-04-15,Washington,Pennsylvania,42125.0,71,1.0,1.0,-0.187,-.286,,-0.24699999
279628,2020-04-16,Washington,Pennsylvania,42125.0,73,1.0,2.0,-0.188,-.289,,-0.198
279629,2020-04-17,Washington,Pennsylvania,42125.0,75,1.0,2.0,-0.189,-.291,,-0.17
279630,2020-04-18,Washington,Pennsylvania,42125.0,79,2.0,4.0,-0.19,-.293,,-0.20900001
279631,2020-04-19,Washington,Pennsylvania,42125.0,82,2.0,3.0,-0.191,-.295,,-0.18899999999999997
279632,2020-04-20,Washington,Pennsylvania,42125.0,83,2.0,1.0,-0.191,-.296,,-0.09759999800000001
279633,2020-04-21,Washington,Pennsylvania,42125.0,86,2.0,3.0,-0.191,-.297,,-0.067699999
279634,2020-04-22,Washington,Pennsylvania,42125.0,87,2.0,1.0,-0.191,-.298,,0.0091399997
279635,2020-04-23,Washington,Pennsylvania,42125.0,92,2.0,5.0,-0.19,-.298,,-0.12899999
279636,2020-04-24,Washington,Pennsylvania,42125.0,96,2.0,4.0,-0.189,-.298,,-0.19599999
279637,2020-04-25,Washington,Pennsylvania,42125.0,99,2.0,3.0,-0.188,-.298,,-0.13600001
279638,2020-04-26,Washington,Pennsylvania,42125.0,101,2.0,2.0,-0.187,-.297,,-0.0832
279639,2020-04-27,Washington,Pennsylvania,42125.0,107,2.0,6.0,-0.186,-.296,,-0.07090000099999999
279640,2020-04-28,Washington,Pennsylvania,42125.0,109,2.0,2.0,-0.184,-.294,,-0.10099999999999999
279641,2020-04-29,Washington,Pennsylvania,42125.0,113,2.0,4.0,-0.182,-.292,,-0.184
279642,2020-04-30,Washington,Pennsylvania,42125.0,115,2.0,2.0,-0.18,-.29,,-0.086000003
279643,2020-05-01,Washington,Pennsylvania,42125.0,116,2.0,1.0,-0.178,-.287,,-0.09669999800000001
279644,2020-05-02,Washington,Pennsylvania,42125.0,118,2.0,2.0,-0.176,-.284,,-0.141
279645,2020-05-03,Washington,Pennsylvania,42125.0,119,2.0,1.0,-0.173,-.281,,-0.146
279646,2020-05-04,Washington,Pennsylvania,42125.0,120,2.0,1.0,-0.171,-.278,,-0.153
279647,2020-05-05,Washington,Pennsylvania,42125.0,120,2.0,0.0,-0.168,-.275,,-0.20900001
279648,2020-05-06,Washington,Pennsylvania,42125.0,121,2.0,1.0,-0.164,-.272,,-0.214
279649,2020-05-07,Washington,Pennsylvania,42125.0,120,4.0,-1.0,-0.161,-.268,,-0.20100001
279650,2020-05-08,Washington,Pennsylvania,42125.0,121,4.0,1.0,-0.158,-.264,,-0.162
279651,2020-05-09,Washington,Pennsylvania,42125.0,124,4.0,3.0,-0.154,-.26,,-0.115
279652,2020-05-10,Washington,Pennsylvania,42125.0,124,4.0,0.0,-0.151,-.256,,-0.133
279653,2020-05-11,Washington,Pennsylvania,42125.0,124,4.0,0.0,-0.147,-.251,,-0.17900001
279654,2020-05-12,Washington,Pennsylvania,42125.0,126,4.0,2.0,-0.144,-.247,,-0.14300001
279655,2020-05-13,Washington,Pennsylvania,42125.0,127,4.0,1.0,-0.14,-.242,,-0.068400003
279656,2020-05-14,Washington,Pennsylvania,42125.0,129,4.0,2.0,-0.136,-.237,,0.0055900002
279657,2020-05-15,Washington,Pennsylvania,42125.0,129,4.0,0.0,-0.133,-.232,,-0.016000001
279658,2020-05-16,Washington,Pennsylvania,42125.0,130,4.0,1.0,-0.13,-.227,,-0.036400001
279659,2020-05-17,Washington,Pennsylvania,42125.0,131,4.0,1.0,-0.126,-.222,,-0.047200002000000005
279660,2020-05-18,Washington,Pennsylvania,42125.0,133,4.0,2.0,-0.123,-.217,,-0.019099999
279661,2020-05-19,Washington,Pennsylvania,42125.0,130,5.0,-3.0,-0.12,-.212,,-0.025900001000000002
279662,2020-05-20,Washington,Pennsylvania,42125.0,130,5.0,0.0,-0.117,-.208,,-0.043299999000000006
279663,2020-05-21,Washington,Pennsylvania,42125.0,130,5.0,0.0,-0.115,-.204,,-0.0594
279664,2020-05-22,Washington,Pennsylvania,42125.0,134,5.0,4.0,-0.112,-.2,,-0.09440000400000001
279665,2020-05-23,Washington,Pennsylvania,42125.0,135,5.0,1.0,-0.11,-.196,,-0.037999999
279666,2020-05-24,Washington,Pennsylvania,42125.0,138,5.0,3.0,-0.108,-.193,,-0.0407
279667,2020-05-25,Washington,Pennsylvania,42125.0,138,5.0,0.0,-0.106,-.19,,-0.08500000099999999
279668,2020-05-26,Washington,Pennsylvania,42125.0,138,5.0,0.0,-0.104,-.188,,-0.040899999
279669,2020-05-27,Washington,Pennsylvania,42125.0,138,5.0,0.0,-0.102,-.186,,0.064499997
279670,2020-05-28,Washington,Pennsylvania,42125.0,139,5.0,1.0,-0.1,-.185,,0.062199999000000006
279671,2020-05-29,Washington,Pennsylvania,42125.0,139,5.0,0.0,-0.0987,-.184,,-0.0054299999
279672,2020-05-30,Washington,Pennsylvania,42125.0,139,5.0,0.0,-0.097,-.183,,-0.024599998999999997
279673,2020-05-31,Washington,Pennsylvania,42125.0,139,5.0,0.0,-0.0953,-.183,,-0.0042400002
279674,2020-06-01,Washington,Pennsylvania,42125.0,140,5.0,1.0,-0.0935,-.184,,-0.0277
279675,2020-06-02,Washington,Pennsylvania,42125.0,140,6.0,0.0,-0.0918,-.184,,-0.022399999
279676,2020-06-03,Washington,Pennsylvania,42125.0,140,6.0,0.0,-0.09,-.185,,-0.034400001
279677,2020-06-04,Washington,Pennsylvania,42125.0,140,6.0,0.0,-0.0882,-.185,,-0.15700001
279678,2020-06-05,Washington,Pennsylvania,42125.0,141,6.0,1.0,-0.0863,-.184,,-0.054499999
279679,2020-06-06,Washington,Pennsylvania,42125.0,146,6.0,5.0,-0.0843,-.183,,-0.13
