,date,county,state,fips,cases,deaths,new_cases,emp_combined,emp_combined_inclow,revenue_all,spend_all
26881,2020-03-07,Fresno,California,6019.0,1,0.0,0.0,0.0232,-.0264,0.0473,0.0496
26882,2020-03-08,Fresno,California,6019.0,1,0.0,0.0,0.0221,-.027,0.0655,0.0639
26883,2020-03-09,Fresno,California,6019.0,1,0.0,0.0,0.0208,-.0279,0.0462,0.0365
26884,2020-03-10,Fresno,California,6019.0,1,0.0,0.0,0.0192,-.0292,0.0282,0.0256
26885,2020-03-11,Fresno,California,6019.0,1,0.0,0.0,0.0174,-.0309,0.0425,0.0311
26886,2020-03-12,Fresno,California,6019.0,1,0.0,0.0,0.0152,-.0333,0.0445,0.0395
26887,2020-03-13,Fresno,California,6019.0,1,0.0,0.0,0.0126,-.0364,0.0393,0.0322
26888,2020-03-14,Fresno,California,6019.0,2,0.0,1.0,0.00951,-.0403,0.019,0.0384
26889,2020-03-15,Fresno,California,6019.0,2,0.0,0.0,0.00581,-.045,-0.00234,0.0138
26890,2020-03-16,Fresno,California,6019.0,2,0.0,0.0,0.00143,-.0507,-0.0329,0.021
26891,2020-03-17,Fresno,California,6019.0,2,0.0,0.0,-0.0038,-.0576,-0.0423,0.0207
26892,2020-03-18,Fresno,California,6019.0,4,0.0,2.0,-0.00995,-.0658,-0.0143,0.0368
26893,2020-03-19,Fresno,California,6019.0,4,0.0,0.0,-0.0171,-.0754,-0.0392,0.000631
26894,2020-03-20,Fresno,California,6019.0,10,0.0,6.0,-0.0254,-.0867,-0.0956,-0.0874
26895,2020-03-21,Fresno,California,6019.0,10,0.0,0.0,-0.0346,-.0996,-0.157,-0.108
26896,2020-03-22,Fresno,California,6019.0,10,0.0,0.0,-0.0445,-.114,-0.16899999999999998,-0.128
26897,2020-03-23,Fresno,California,6019.0,13,0.0,3.0,-0.0549,-.128,-0.22699999999999998,-0.154
26898,2020-03-24,Fresno,California,6019.0,18,0.0,5.0,-0.0654,-.143,-0.27,-0.2
26899,2020-03-25,Fresno,California,6019.0,19,0.0,1.0,-0.0759,-.158,-0.34299999999999997,-0.207
26900,2020-03-26,Fresno,California,6019.0,27,0.0,8.0,-0.0862,-.173,-0.35200000000000004,-0.277
26901,2020-03-27,Fresno,California,6019.0,31,0.0,4.0,-0.0959,-.187,-0.37799999999999995,-0.292
26902,2020-03-28,Fresno,California,6019.0,43,0.0,12.0,-0.105,-.2,-0.37,-0.311
26903,2020-03-29,Fresno,California,6019.0,43,0.0,0.0,-0.114,-.212,-0.375,-0.313
26904,2020-03-30,Fresno,California,6019.0,53,0.0,10.0,-0.122,-.223,-0.369,-0.312
26905,2020-03-31,Fresno,California,6019.0,68,0.0,15.0,-0.129,-.232,-0.365,-0.31
26906,2020-04-01,Fresno,California,6019.0,82,0.0,14.0,-0.136,-.241,-0.355,-0.304
26907,2020-04-02,Fresno,California,6019.0,94,0.0,12.0,-0.142,-.248,-0.36200000000000004,-0.293
26908,2020-04-03,Fresno,California,6019.0,100,1.0,6.0,-0.147,-.254,-0.371,-0.283
26909,2020-04-04,Fresno,California,6019.0,103,1.0,3.0,-0.152,-.258,-0.366,-0.272
26910,2020-04-05,Fresno,California,6019.0,108,1.0,5.0,-0.156,-.262,-0.376,-0.269
26911,2020-04-06,Fresno,California,6019.0,124,2.0,16.0,-0.16,-.265,-0.385,-0.254
26912,2020-04-07,Fresno,California,6019.0,146,3.0,22.0,-0.164,-.267,-0.386,-0.263
26913,2020-04-08,Fresno,California,6019.0,156,3.0,10.0,-0.169,-.27,-0.39899999999999997,-0.266
26914,2020-04-09,Fresno,California,6019.0,173,3.0,17.0,-0.173,-.273,-0.413,-0.284
26915,2020-04-10,Fresno,California,6019.0,191,5.0,18.0,-0.177,-.277,-0.391,-0.291
26916,2020-04-11,Fresno,California,6019.0,201,5.0,10.0,-0.181,-.281,-0.406,-0.295
26917,2020-04-12,Fresno,California,6019.0,201,5.0,0.0,-0.185,-.285,-0.42200000000000004,-0.319
26918,2020-04-13,Fresno,California,6019.0,222,5.0,21.0,-0.188,-.289,-0.38,-0.338
26919,2020-04-14,Fresno,California,6019.0,222,5.0,0.0,-0.191,-.294,-0.373,-0.335
26920,2020-04-15,Fresno,California,6019.0,265,7.0,43.0,-0.194,-.298,-0.336,-0.339
26921,2020-04-16,Fresno,California,6019.0,295,7.0,30.0,-0.197,-.302,-0.301,-0.332
26922,2020-04-17,Fresno,California,6019.0,311,7.0,16.0,-0.199,-.306,-0.28600000000000003,-0.334
26923,2020-04-18,Fresno,California,6019.0,315,7.0,4.0,-0.201,-.309,-0.263,-0.332
