,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
289,2020-02-24,Solano,California,6095.0,1,0.0,-0.00535,-.0914,-0.00479,0.049899999
304,2020-02-25,Solano,California,6095.0,1,0.0,-0.00534,-.0931,-0.0251,0.045299999
322,2020-02-26,Solano,California,6095.0,11,0.0,-0.00532,-.095,-0.0129,0.056600001
341,2020-02-27,Solano,California,6095.0,11,0.0,-0.00529,-.097,-0.00673,0.039900001000000004
360,2020-02-28,Solano,California,6095.0,11,0.0,-0.00518,-.0987,-0.0164,0.020500001
381,2020-02-29,Solano,California,6095.0,11,0.0,-0.00512,-.101,-0.0164,0.022500001000000002
403,2020-03-01,Solano,California,6095.0,12,0.0,-0.00507,-.103,-0.0195,-0.00398
428,2020-03-02,Solano,California,6095.0,12,0.0,-0.00504,-.105,-0.0242,0.00532
457,2020-03-03,Solano,California,6095.0,12,0.0,-0.00507,-.108,-0.0148,0.0119
487,2020-03-04,Solano,California,6095.0,12,0.0,-0.00513,-.11,-0.0203,0.0102
521,2020-03-05,Solano,California,6095.0,12,0.0,-0.00525,-.112,-0.0253,0.00064400001
564,2020-03-06,Solano,California,6095.0,12,0.0,-0.00556,-.116,-0.0257,0.00233
632,2020-03-07,Solano,California,6095.0,12,0.0,-0.00603,-.12,-0.0226,0.0121
714,2020-03-08,Solano,California,6095.0,12,0.0,-0.00662,-.124,-0.0199,0.015
813,2020-03-09,Solano,California,6095.0,12,0.0,-0.00738,-.128,-0.0241,-0.0184
926,2020-03-10,Solano,California,6095.0,12,0.0,-0.00835,-.132,-0.0268,-0.0339
1068,2020-03-11,Solano,California,6095.0,12,0.0,-0.00956,-.137,-0.0329,-0.04769999900000001
1239,2020-03-12,Solano,California,6095.0,12,0.0,-0.0111,-.141,-0.0311,-0.0414
1455,2020-03-13,Solano,California,6095.0,12,0.0,-0.013,-.145,-0.0416,-0.0436
1716,2020-03-14,Solano,California,6095.0,12,0.0,-0.0154,-.149,-0.0464,-0.0405
2021,2020-03-15,Solano,California,6095.0,13,0.0,-0.0185,-.153,-0.0417,-0.067000002
2363,2020-03-16,Solano,California,6095.0,15,0.0,-0.0224,-.157,-0.0401,-0.0502
2741,2020-03-17,Solano,California,6095.0,15,0.0,-0.0274,-.161,-0.0519,-0.058800001
3170,2020-03-18,Solano,California,6095.0,15,0.0,-0.0335,-.166,-0.0686,-0.069600001
3670,2020-03-19,Solano,California,6095.0,15,0.0,-0.0409,-.172,-0.10800000000000001,-0.146
4243,2020-03-20,Solano,California,6095.0,18,0.0,-0.0496,-.179,-0.15,-0.16500001
4910,2020-03-21,Solano,California,6095.0,19,0.0,-0.0597,-.189,-0.187,-0.185
5647,2020-03-22,Solano,California,6095.0,19,0.0,-0.0708,-.199,-0.222,-0.205
6451,2020-03-23,Solano,California,6095.0,21,0.0,-0.0825,-.211,-0.268,-0.223
7311,2020-03-24,Solano,California,6095.0,29,0.0,-0.0948,-.223,-0.311,-0.29899999
8246,2020-03-25,Solano,California,6095.0,36,0.0,-0.107,-.236,-0.34600000000000003,-0.30700001
9282,2020-03-26,Solano,California,6095.0,39,0.0,-0.12,-.249,-0.368,-0.30899999
10383,2020-03-27,Solano,California,6095.0,39,0.0,-0.132,-.263,-0.374,-0.30199999
11537,2020-03-28,Solano,California,6095.0,39,0.0,-0.144,-.277,-0.385,-0.317
12739,2020-03-29,Solano,California,6095.0,39,0.0,-0.155,-.291,-0.38799999999999996,-0.336
13974,2020-03-30,Solano,California,6095.0,48,0.0,-0.166,-.305,-0.385,-0.33000001
15249,2020-03-31,Solano,California,6095.0,54,0.0,-0.176,-.319,-0.389,-0.31
16556,2020-04-01,Solano,California,6095.0,54,0.0,-0.185,-.333,-0.38799999999999996,-0.30599999
17895,2020-04-02,Solano,California,6095.0,66,1.0,-0.193,-.345,-0.391,-0.32100001
19267,2020-04-03,Solano,California,6095.0,78,1.0,-0.2,-.357,-0.39299999999999996,-0.33500001
20664,2020-04-04,Solano,California,6095.0,78,1.0,-0.206,-.366,-0.396,-0.33799999999999997
22085,2020-04-05,Solano,California,6095.0,78,1.0,-0.211,-.375,-0.39799999999999996,-0.34099999
