,date,county,state,fips,cases,deaths,new_cases,emp_combined,emp_combined_inclow,revenue_all,spend_all
11713,2020-03-23,Tallapoosa,Alabama,1123.0,1,0.0,0.0,,,-0.20199999999999999,-0.223
11714,2020-03-24,Tallapoosa,Alabama,1123.0,2,0.0,1.0,,,-0.244,-0.329
11715,2020-03-25,Tallapoosa,Alabama,1123.0,4,0.0,2.0,,,-0.256,-0.301
11716,2020-03-26,Tallapoosa,Alabama,1123.0,4,0.0,0.0,,,-0.253,-0.322
11717,2020-03-27,Tallapoosa,Alabama,1123.0,5,0.0,1.0,,,-0.27899999999999997,-0.328
11718,2020-03-28,Tallapoosa,Alabama,1123.0,5,0.0,0.0,,,-0.226,-0.337
11719,2020-03-29,Tallapoosa,Alabama,1123.0,8,0.0,3.0,,,-0.22899999999999998,-0.362
11720,2020-03-30,Tallapoosa,Alabama,1123.0,12,1.0,4.0,,,-0.16,-0.352
11721,2020-03-31,Tallapoosa,Alabama,1123.0,13,1.0,1.0,,,-0.20800000000000002,-0.341
11722,2020-04-01,Tallapoosa,Alabama,1123.0,14,1.0,1.0,,,-0.185,-0.323
11723,2020-04-02,Tallapoosa,Alabama,1123.0,17,1.0,3.0,,,-0.248,-0.304
11724,2020-04-03,Tallapoosa,Alabama,1123.0,20,1.0,3.0,,,-0.19699999999999998,-0.266
11725,2020-04-04,Tallapoosa,Alabama,1123.0,20,1.0,0.0,,,-0.191,-0.253
11726,2020-04-05,Tallapoosa,Alabama,1123.0,30,1.0,10.0,,,-0.191,-0.265
11727,2020-04-06,Tallapoosa,Alabama,1123.0,31,1.0,1.0,,,-0.18,-0.283
11728,2020-04-07,Tallapoosa,Alabama,1123.0,33,1.0,2.0,,,-0.14800000000000002,-0.285
11729,2020-04-08,Tallapoosa,Alabama,1123.0,43,1.0,10.0,,,-0.125,-0.319
11730,2020-04-09,Tallapoosa,Alabama,1123.0,48,2.0,5.0,,,-0.0733,-0.354
11731,2020-04-10,Tallapoosa,Alabama,1123.0,53,2.0,5.0,,,-0.12,-0.375
11732,2020-04-11,Tallapoosa,Alabama,1123.0,62,4.0,9.0,,,-0.11800000000000001,-0.371
11733,2020-04-12,Tallapoosa,Alabama,1123.0,99,4.0,37.0,,,-0.0538,-0.355
11734,2020-04-13,Tallapoosa,Alabama,1123.0,107,7.0,8.0,,,-0.0561,-0.368
11735,2020-04-14,Tallapoosa,Alabama,1123.0,123,7.0,16.0,,,-0.0444,-0.292
11736,2020-04-15,Tallapoosa,Alabama,1123.0,149,7.0,26.0,,,-0.0144,-0.235
11737,2020-04-16,Tallapoosa,Alabama,1123.0,160,7.0,11.0,,,-0.0625,-0.15
11738,2020-04-17,Tallapoosa,Alabama,1123.0,160,9.0,0.0,,,0.0165,-0.116
11739,2020-04-18,Tallapoosa,Alabama,1123.0,180,11.0,20.0,,,0.0231,-0.161
11740,2020-04-19,Tallapoosa,Alabama,1123.0,195,12.0,15.0,,,-0.0303,-0.153
11741,2020-04-20,Tallapoosa,Alabama,1123.0,193,12.0,-2.0,,,-0.0761,-0.071
11742,2020-04-21,Tallapoosa,Alabama,1123.0,228,14.0,35.0,,,-0.0623,-0.0694
11743,2020-04-22,Tallapoosa,Alabama,1123.0,242,16.0,14.0,,,-0.109,-0.103
11744,2020-04-23,Tallapoosa,Alabama,1123.0,254,16.0,12.0,,,-0.158,-0.168
11745,2020-04-24,Tallapoosa,Alabama,1123.0,261,17.0,7.0,,,-0.18899999999999997,-0.154
11746,2020-04-25,Tallapoosa,Alabama,1123.0,267,17.0,6.0,,,-0.149,-0.0694
11747,2020-04-26,Tallapoosa,Alabama,1123.0,274,17.0,7.0,,,-0.134,-0.0971
11748,2020-04-27,Tallapoosa,Alabama,1123.0,275,17.0,1.0,,,-0.10099999999999999,-0.134
11749,2020-04-28,Tallapoosa,Alabama,1123.0,279,17.0,4.0,,,-0.042,-0.249
11750,2020-04-29,Tallapoosa,Alabama,1123.0,280,18.0,1.0,,,-0.033,-0.267
11751,2020-04-30,Tallapoosa,Alabama,1123.0,285,18.0,5.0,,,0.0265,-0.275
11752,2020-05-01,Tallapoosa,Alabama,1123.0,286,18.0,1.0,,,-0.0014,-0.323
11753,2020-05-02,Tallapoosa,Alabama,1123.0,290,18.0,4.0,,,-0.105,-0.382
11754,2020-05-03,Tallapoosa,Alabama,1123.0,295,18.0,5.0,,,-0.0696,-0.346
11755,2020-05-04,Tallapoosa,Alabama,1123.0,298,19.0,3.0,,,-0.0349,-0.281
11756,2020-05-05,Tallapoosa,Alabama,1123.0,303,22.0,5.0,,,-0.091,-0.247
11757,2020-05-06,Tallapoosa,Alabama,1123.0,304,23.0,1.0,,,-0.128,-0.24
11758,2020-05-07,Tallapoosa,Alabama,1123.0,314,40.0,10.0,,,-0.106,-0.23
11759,2020-05-08,Tallapoosa,Alabama,1123.0,315,41.0,1.0,,,-0.129,-0.198
11760,2020-05-09,Tallapoosa,Alabama,1123.0,316,42.0,1.0,,,-0.0571,-0.123
11761,2020-05-10,Tallapoosa,Alabama,1123.0,323,42.0,7.0,,,-0.0398,-0.168
11762,2020-05-11,Tallapoosa,Alabama,1123.0,328,42.0,5.0,,,-0.0722,-0.16
11763,2020-05-12,Tallapoosa,Alabama,1123.0,330,50.0,2.0,,,-0.0307,-0.303
11764,2020-05-13,Tallapoosa,Alabama,1123.0,338,51.0,8.0,,,0.0126,-0.203
11765,2020-05-14,Tallapoosa,Alabama,1123.0,345,56.0,7.0,,,0.0565,-0.196
11766,2020-05-15,Tallapoosa,Alabama,1123.0,351,57.0,6.0,,,0.174,-0.182
11767,2020-05-16,Tallapoosa,Alabama,1123.0,357,57.0,6.0,,,0.19399999999999998,-0.164
11768,2020-05-17,Tallapoosa,Alabama,1123.0,358,57.0,1.0,,,0.11699999999999999,-0.112
11769,2020-05-18,Tallapoosa,Alabama,1123.0,366,57.0,8.0,,,0.0991,-0.118
11770,2020-05-19,Tallapoosa,Alabama,1123.0,371,57.0,5.0,,,0.0966,0.00501
11771,2020-05-20,Tallapoosa,Alabama,1123.0,379,59.0,8.0,,,0.1,-0.0482
11772,2020-05-21,Tallapoosa,Alabama,1123.0,384,59.0,5.0,,,0.0968,-0.067
11773,2020-05-22,Tallapoosa,Alabama,1123.0,387,62.0,3.0,,,-0.0484,-0.0827
11774,2020-05-23,Tallapoosa,Alabama,1123.0,392,62.0,5.0,,,-0.106,-0.142
11775,2020-05-24,Tallapoosa,Alabama,1123.0,396,62.0,4.0,,,-0.163,-0.153
11776,2020-05-25,Tallapoosa,Alabama,1123.0,400,63.0,4.0,,,-0.192,-0.161
11777,2020-05-26,Tallapoosa,Alabama,1123.0,408,63.0,8.0,,,-0.175,-0.217
11778,2020-05-27,Tallapoosa,Alabama,1123.0,410,63.0,2.0,,,-0.195,-0.279
11779,2020-05-28,Tallapoosa,Alabama,1123.0,418,64.0,8.0,,,-0.14,-0.31
11780,2020-05-29,Tallapoosa,Alabama,1123.0,422,64.0,4.0,,,-0.0138,-0.288
11781,2020-05-30,Tallapoosa,Alabama,1123.0,423,64.0,1.0,,,0.00267,-0.273
11782,2020-05-31,Tallapoosa,Alabama,1123.0,427,65.0,4.0,,,-0.0177,-0.301
11783,2020-06-01,Tallapoosa,Alabama,1123.0,432,65.0,5.0,,,0.0405,-0.235
11784,2020-06-02,Tallapoosa,Alabama,1123.0,436,66.0,4.0,,,0.0407,-0.17
11785,2020-06-03,Tallapoosa,Alabama,1123.0,437,66.0,1.0,,,0.0308,-0.177
11786,2020-06-04,Tallapoosa,Alabama,1123.0,439,66.0,2.0,,,-0.0216,-0.161
11787,2020-06-05,Tallapoosa,Alabama,1123.0,440,66.0,1.0,,,-0.0697,-0.218
11788,2020-06-06,Tallapoosa,Alabama,1123.0,444,66.0,4.0,,,-0.0288,-0.175
11789,2020-06-07,Tallapoosa,Alabama,1123.0,447,66.0,3.0,,,0.11699999999999999,-0.104
11790,2020-06-08,Tallapoosa,Alabama,1123.0,451,67.0,4.0,,,0.0897,-0.106
11791,2020-06-09,Tallapoosa,Alabama,1123.0,453,67.0,2.0,,,0.0435,-0.119
11792,2020-06-10,Tallapoosa,Alabama,1123.0,458,67.0,5.0,,,0.0555,-0.0687
11793,2020-06-11,Tallapoosa,Alabama,1123.0,461,67.0,3.0,,,0.0174,-0.0146
11794,2020-06-12,Tallapoosa,Alabama,1123.0,462,67.0,1.0,,,0.00948,0.00562
11795,2020-06-13,Tallapoosa,Alabama,1123.0,468,67.0,6.0,,,0.0169,-0.035
11796,2020-06-14,Tallapoosa,Alabama,1123.0,474,67.0,6.0,,,-0.0305,-0.093
11797,2020-06-15,Tallapoosa,Alabama,1123.0,480,67.0,6.0,,,-0.0409,-0.141
11798,2020-06-16,Tallapoosa,Alabama,1123.0,481,68.0,1.0,,,0.11,-0.126
11799,2020-06-17,Tallapoosa,Alabama,1123.0,489,69.0,8.0,,,0.18600000000000003,-0.114
11800,2020-06-18,Tallapoosa,Alabama,1123.0,505,69.0,16.0,,,0.218,-0.16
11801,2020-06-19,Tallapoosa,Alabama,1123.0,513,69.0,8.0,,,0.268,-0.138
11802,2020-06-20,Tallapoosa,Alabama,1123.0,513,70.0,0.0,,,0.304,-0.107
11803,2020-06-21,Tallapoosa,Alabama,1123.0,517,70.0,4.0,,,0.293,-0.1
11804,2020-06-22,Tallapoosa,Alabama,1123.0,520,70.0,3.0,,,0.256,-0.0784
11805,2020-06-23,Tallapoosa,Alabama,1123.0,525,70.0,5.0,,,0.109,-0.109
11806,2020-06-24,Tallapoosa,Alabama,1123.0,531,70.0,6.0,,,-0.00395,-0.113
11807,2020-06-25,Tallapoosa,Alabama,1123.0,541,70.0,10.0,,,0.0633,-0.0949
11808,2020-06-26,Tallapoosa,Alabama,1123.0,541,70.0,0.0,,,-0.0419,-0.07
11809,2020-06-27,Tallapoosa,Alabama,1123.0,546,70.0,5.0,,,-0.10300000000000001,-0.121
11810,2020-06-28,Tallapoosa,Alabama,1123.0,550,70.0,4.0,,,-0.0786,-0.116
11811,2020-06-29,Tallapoosa,Alabama,1123.0,563,70.0,13.0,,,-0.0446,-0.0941
11812,2020-06-30,Tallapoosa,Alabama,1123.0,567,70.0,4.0,,,-0.005370000000000001,-0.0805
11813,2020-07-01,Tallapoosa,Alabama,1123.0,570,70.0,3.0,,,0.0343,-0.0637
11814,2020-07-02,Tallapoosa,Alabama,1123.0,579,70.0,9.0,,,-0.0814,0.0122
11815,2020-07-03,Tallapoosa,Alabama,1123.0,590,70.0,11.0,,,-0.107,0.00228
11816,2020-07-04,Tallapoosa,Alabama,1123.0,595,70.0,5.0,,,-0.0421,0.108
11817,2020-07-05,Tallapoosa,Alabama,1123.0,598,70.0,3.0,,,-0.0169,0.062
11818,2020-07-06,Tallapoosa,Alabama,1123.0,612,70.0,14.0,,,-0.109,0.0302
11819,2020-07-07,Tallapoosa,Alabama,1123.0,612,70.0,0.0,,,-0.141,0.0125
11820,2020-07-08,Tallapoosa,Alabama,1123.0,614,70.0,2.0,,,-0.13699999999999998,-0.0607
11821,2020-07-09,Tallapoosa,Alabama,1123.0,625,70.0,11.0,,,-0.17,-0.132
11822,2020-07-10,Tallapoosa,Alabama,1123.0,634,70.0,9.0,,,-0.162,-0.172
11823,2020-07-11,Tallapoosa,Alabama,1123.0,637,70.0,3.0,,,-0.149,-0.195
11824,2020-07-12,Tallapoosa,Alabama,1123.0,640,70.0,3.0,,,-0.158,-0.237
11825,2020-07-13,Tallapoosa,Alabama,1123.0,643,70.0,3.0,,,-0.0909,-0.272
11826,2020-07-14,Tallapoosa,Alabama,1123.0,660,70.0,17.0,,,-0.0557,-0.279
11827,2020-07-15,Tallapoosa,Alabama,1123.0,676,73.0,16.0,,,-0.061,-0.23
11828,2020-07-16,Tallapoosa,Alabama,1123.0,687,73.0,11.0,,,0.00805,-0.179
11829,2020-07-17,Tallapoosa,Alabama,1123.0,693,73.0,6.0,,,0.0346,-0.22
11830,2020-07-18,Tallapoosa,Alabama,1123.0,707,73.0,14.0,,,-0.0081,-0.16
11831,2020-07-19,Tallapoosa,Alabama,1123.0,718,73.0,11.0,,,0.0327,-0.15
11832,2020-07-20,Tallapoosa,Alabama,1123.0,730,73.0,12.0,,,0.0106,-0.158
11833,2020-07-21,Tallapoosa,Alabama,1123.0,744,73.0,14.0,,,-0.0049,-0.147
11834,2020-07-22,Tallapoosa,Alabama,1123.0,751,75.0,7.0,,,-0.0115,-0.139
11835,2020-07-23,Tallapoosa,Alabama,1123.0,765,76.0,14.0,,,-0.0024100000000000002,-0.218
11836,2020-07-24,Tallapoosa,Alabama,1123.0,779,79.0,14.0,,,0.0381,-0.139
11837,2020-07-25,Tallapoosa,Alabama,1123.0,787,79.0,8.0,,,0.125,-0.155
11838,2020-07-26,Tallapoosa,Alabama,1123.0,801,79.0,14.0,,,0.0558,-0.159
11839,2020-07-27,Tallapoosa,Alabama,1123.0,809,79.0,8.0,,,0.0341,-0.0987
11840,2020-07-28,Tallapoosa,Alabama,1123.0,810,79.0,1.0,,,0.0162,-0.0558
11841,2020-07-29,Tallapoosa,Alabama,1123.0,813,79.0,3.0,,,-0.0741,-0.11
11842,2020-07-30,Tallapoosa,Alabama,1123.0,824,79.0,11.0,,,-0.18899999999999997,-0.0787
11843,2020-07-31,Tallapoosa,Alabama,1123.0,845,79.0,21.0,,,-0.121,-0.074
11844,2020-08-01,Tallapoosa,Alabama,1123.0,848,79.0,3.0,,,-0.159,-0.121
11845,2020-08-02,Tallapoosa,Alabama,1123.0,854,79.0,6.0,,,-0.172,-0.117
11846,2020-08-03,Tallapoosa,Alabama,1123.0,865,79.0,11.0,,,-0.0756,-0.0652
11847,2020-08-04,Tallapoosa,Alabama,1123.0,873,79.0,8.0,,,0.0102,-0.0824
11848,2020-08-05,Tallapoosa,Alabama,1123.0,879,79.0,6.0,,,0.149,-0.0433
11849,2020-08-06,Tallapoosa,Alabama,1123.0,900,80.0,21.0,,,0.259,0.00417
11850,2020-08-07,Tallapoosa,Alabama,1123.0,917,80.0,17.0,,,0.16899999999999998,-0.00525
11851,2020-08-08,Tallapoosa,Alabama,1123.0,922,80.0,5.0,,,0.0835,0.0567
11852,2020-08-09,Tallapoosa,Alabama,1123.0,925,80.0,3.0,,,0.10400000000000001,0.0353
11853,2020-08-10,Tallapoosa,Alabama,1123.0,935,80.0,10.0,,,-0.0176,-0.024
11854,2020-08-11,Tallapoosa,Alabama,1123.0,951,80.0,16.0,,,0.00253,-0.0136
11855,2020-08-12,Tallapoosa,Alabama,1123.0,955,80.0,4.0,,,-0.046,0.019
11856,2020-08-13,Tallapoosa,Alabama,1123.0,958,80.0,3.0,,,0.0204,-0.0757
11857,2020-08-14,Tallapoosa,Alabama,1123.0,965,80.0,7.0,,,0.054000000000000006,-0.046
11858,2020-08-15,Tallapoosa,Alabama,1123.0,969,80.0,4.0,,,0.0356,-0.0228
11859,2020-08-16,Tallapoosa,Alabama,1123.0,970,80.0,1.0,,,0.0145,0.0251
11860,2020-08-17,Tallapoosa,Alabama,1123.0,973,80.0,3.0,,,0.0036299999999999995,0.0821
11861,2020-08-18,Tallapoosa,Alabama,1123.0,986,80.0,13.0,,,-0.0694,0.0513
11862,2020-08-19,Tallapoosa,Alabama,1123.0,987,80.0,1.0,,,-0.0927,0.0743
11863,2020-08-20,Tallapoosa,Alabama,1123.0,991,79.0,4.0,,,-0.109,0.092
11864,2020-08-21,Tallapoosa,Alabama,1123.0,999,80.0,8.0,,,-0.11699999999999999,0.137
11865,2020-08-22,Tallapoosa,Alabama,1123.0,1003,80.0,4.0,,,0.0313,0.169
11866,2020-08-23,Tallapoosa,Alabama,1123.0,1005,80.0,2.0,,,0.0735,0.189
11867,2020-08-24,Tallapoosa,Alabama,1123.0,1011,80.0,6.0,,,0.0702,0.181
11868,2020-08-25,Tallapoosa,Alabama,1123.0,1013,80.0,2.0,,,0.0626,0.209
11869,2020-08-26,Tallapoosa,Alabama,1123.0,1016,80.0,3.0,,,0.0289,0.126
11870,2020-08-27,Tallapoosa,Alabama,1123.0,1027,80.0,11.0,,,-0.0577,0.218
11871,2020-08-28,Tallapoosa,Alabama,1123.0,1034,82.0,7.0,,,-0.131,0.135
11872,2020-08-29,Tallapoosa,Alabama,1123.0,1041,82.0,7.0,,,-0.212,0.0136
11873,2020-08-30,Tallapoosa,Alabama,1123.0,1044,82.0,3.0,,,-0.22399999999999998,0.0229
11874,2020-08-31,Tallapoosa,Alabama,1123.0,1053,82.0,9.0,,,-0.13699999999999998,-0.0112
11875,2020-09-01,Tallapoosa,Alabama,1123.0,1063,82.0,10.0,,,-0.168,-0.000322
11876,2020-09-02,Tallapoosa,Alabama,1123.0,1066,83.0,3.0,,,-0.205,-0.0284
11877,2020-09-03,Tallapoosa,Alabama,1123.0,1073,83.0,7.0,,,-0.179,-0.117
