,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
4327,2020-03-20,Douglas,Georgia,13097.0,1,0.0,-0.0635,.,,-0.079999998
5003,2020-03-21,Douglas,Georgia,13097.0,4,0.0,-0.0684,.,,-0.062399998
5747,2020-03-22,Douglas,Georgia,13097.0,4,0.0,-0.0732,.,,-0.045899998
6555,2020-03-23,Douglas,Georgia,13097.0,7,0.0,-0.0779,.,,-0.109
7420,2020-03-24,Douglas,Georgia,13097.0,12,0.0,-0.0826,.,,-0.094999999
8359,2020-03-25,Douglas,Georgia,13097.0,18,0.0,-0.0876,.,,-0.092900001
9397,2020-03-26,Douglas,Georgia,13097.0,18,0.0,-0.0929,.,,-0.142
10502,2020-03-27,Douglas,Georgia,13097.0,32,1.0,-0.0988,.,,-0.124
11659,2020-03-28,Douglas,Georgia,13097.0,35,1.0,-0.105,.,,-0.18700001
12864,2020-03-29,Douglas,Georgia,13097.0,38,1.0,-0.112,.,,-0.24699999
14102,2020-03-30,Douglas,Georgia,13097.0,43,1.0,-0.12,.,,-0.222
15380,2020-03-31,Douglas,Georgia,13097.0,51,1.0,-0.127,.,,-0.23
16690,2020-04-01,Douglas,Georgia,13097.0,56,2.0,-0.135,.,,-0.2
18029,2020-04-02,Douglas,Georgia,13097.0,66,3.0,-0.143,.,,-0.184
19402,2020-04-03,Douglas,Georgia,13097.0,78,4.0,-0.151,.,,-0.212
20802,2020-04-04,Douglas,Georgia,13097.0,84,4.0,-0.158,.,,-0.18899999999999997
22223,2020-04-05,Douglas,Georgia,13097.0,91,5.0,-0.165,.,,-0.192
23654,2020-04-06,Douglas,Georgia,13097.0,105,5.0,-0.171,.,,-0.183
25098,2020-04-07,Douglas,Georgia,13097.0,117,5.0,-0.177,.,,-0.192
26552,2020-04-08,Douglas,Georgia,13097.0,124,5.0,-0.183,.,,-0.21899999999999997
28014,2020-04-09,Douglas,Georgia,13097.0,134,5.0,-0.188,.,,-0.264
29484,2020-04-10,Douglas,Georgia,13097.0,148,5.0,-0.193,.,,-0.20600000000000002
30966,2020-04-11,Douglas,Georgia,13097.0,151,5.0,-0.197,.,,-0.248
32460,2020-04-12,Douglas,Georgia,13097.0,159,5.0,-0.201,.,,-0.25600001
33958,2020-04-13,Douglas,Georgia,13097.0,177,5.0,-0.204,.,,-0.249
35460,2020-04-14,Douglas,Georgia,13097.0,189,6.0,-0.207,.,,-0.17800000000000002
36967,2020-04-15,Douglas,Georgia,13097.0,201,6.0,-0.209,.,,-0.11699999999999999
38480,2020-04-16,Douglas,Georgia,13097.0,209,6.0,-0.211,.,,-0.13
39995,2020-04-17,Douglas,Georgia,13097.0,222,6.0,-0.213,.,,-0.15899999
41514,2020-04-18,Douglas,Georgia,13097.0,229,6.0,-0.215,.,,-0.15000001
43036,2020-04-19,Douglas,Georgia,13097.0,233,6.0,-0.216,.,,-0.114
44562,2020-04-20,Douglas,Georgia,13097.0,243,6.0,-0.217,.,,-0.0579
46089,2020-04-21,Douglas,Georgia,13097.0,246,7.0,-0.218,.,,-0.0691
47619,2020-04-22,Douglas,Georgia,13097.0,259,8.0,-0.218,.,,-0.066699997
49150,2020-04-23,Douglas,Georgia,13097.0,273,8.0,-0.218,.,,-0.041099999
50681,2020-04-24,Douglas,Georgia,13097.0,276,8.0,-0.218,.,,-0.0372
52213,2020-04-25,Douglas,Georgia,13097.0,276,8.0,-0.217,.,,-0.0394
53748,2020-04-26,Douglas,Georgia,13097.0,278,8.0,-0.215,.,,-0.0138
55284,2020-04-27,Douglas,Georgia,13097.0,284,11.0,-0.213,.,,-0.076499999
56821,2020-04-28,Douglas,Georgia,13097.0,300,11.0,-0.211,.,,-0.114
58359,2020-04-29,Douglas,Georgia,13097.0,311,11.0,-0.208,.,,-0.032099999
59897,2020-04-30,Douglas,Georgia,13097.0,319,11.0,-0.206,.,,-0.0090199998
61435,2020-05-01,Douglas,Georgia,13097.0,329,11.0,-0.202,.,,-0.039099998999999996
62976,2020-05-02,Douglas,Georgia,13097.0,335,11.0,-0.198,.,,-0.0091599999
64518,2020-05-03,Douglas,Georgia,13097.0,341,11.0,-0.194,.,,0.015699999
66062,2020-05-04,Douglas,Georgia,13097.0,343,11.0,-0.19,.,,0.07150000299999999
67607,2020-05-05,Douglas,Georgia,13097.0,353,11.0,-0.185,.,,0.0111
69154,2020-05-06,Douglas,Georgia,13097.0,363,11.0,-0.181,.,,-0.0156
70705,2020-05-07,Douglas,Georgia,13097.0,366,11.0,-0.176,.,,-0.079300001
72259,2020-05-08,Douglas,Georgia,13097.0,398,11.0,-0.171,.,,-0.043299999000000006
73813,2020-05-09,Douglas,Georgia,13097.0,400,11.0,-0.166,.,,-0.033100002
75367,2020-05-10,Douglas,Georgia,13097.0,414,11.0,-0.161,.,,-0.057300000999999996
76921,2020-05-11,Douglas,Georgia,13097.0,417,12.0,-0.157,.,,-0.13600001
78475,2020-05-12,Douglas,Georgia,13097.0,417,12.0,-0.152,.,,-0.097400002
80029,2020-05-13,Douglas,Georgia,13097.0,422,14.0,-0.148,.,,-0.033199999
81583,2020-05-14,Douglas,Georgia,13097.0,429,14.0,-0.144,.,,-0.033500001
83138,2020-05-15,Douglas,Georgia,13097.0,433,15.0,-0.14,.,,-0.048999999
84694,2020-05-16,Douglas,Georgia,13097.0,438,15.0,-0.136,.,,-0.034600001
86250,2020-05-17,Douglas,Georgia,13097.0,437,15.0,-0.133,.,,-0.0288
87806,2020-05-18,Douglas,Georgia,13097.0,439,18.0,-0.13,.,,0.0359
89362,2020-05-19,Douglas,Georgia,13097.0,445,19.0,-0.127,.,,0.0139
90921,2020-05-20,Douglas,Georgia,13097.0,452,19.0,-0.125,.,,-0.022399999
92481,2020-05-21,Douglas,Georgia,13097.0,455,22.0,-0.122,.,,-0.025900001000000002
94043,2020-05-22,Douglas,Georgia,13097.0,478,22.0,-0.119,.,,-0.025699998999999998
95606,2020-05-23,Douglas,Georgia,13097.0,487,22.0,-0.117,.,,-0.031500001
97171,2020-05-24,Douglas,Georgia,13097.0,490,22.0,-0.114,.,,-0.0174
98736,2020-05-25,Douglas,Georgia,13097.0,504,22.0,-0.11,.,,-0.0197
100301,2020-05-26,Douglas,Georgia,13097.0,517,23.0,-0.107,.,,0.0165
101866,2020-05-27,Douglas,Georgia,13097.0,521,24.0,-0.104,.,,0.044599999
103432,2020-05-28,Douglas,Georgia,13097.0,528,24.0,-0.102,.,,0.0469
104998,2020-05-29,Douglas,Georgia,13097.0,539,24.0,-0.0997,.,,0.0469
106565,2020-05-30,Douglas,Georgia,13097.0,539,25.0,-0.098,.,,0.0037400001000000003
108132,2020-05-31,Douglas,Georgia,13097.0,543,25.0,-0.0968,.,,-0.033799998
109699,2020-06-01,Douglas,Georgia,13097.0,546,25.0,-0.096,.,,-0.022399999
111266,2020-06-02,Douglas,Georgia,13097.0,549,25.0,-0.0955,.,,-0.011000000000000001
112835,2020-06-03,Douglas,Georgia,13097.0,556,25.0,-0.0951,.,,0.042800002000000004
114405,2020-06-04,Douglas,Georgia,13097.0,571,25.0,-0.0945,.,,-0.012
115976,2020-06-05,Douglas,Georgia,13097.0,583,25.0,-0.0934,.,,-0.0296
117548,2020-06-06,Douglas,Georgia,13097.0,592,25.0,-0.0921,.,,0.019300001
119120,2020-06-07,Douglas,Georgia,13097.0,592,25.0,-0.0904,.,,0.046
120692,2020-06-08,Douglas,Georgia,13097.0,601,25.0,-0.0882,.,,-0.025
122264,2020-06-09,Douglas,Georgia,13097.0,612,27.0,-0.0858,.,,-0.106
123836,2020-06-10,Douglas,Georgia,13097.0,624,26.0,-0.083,.,,-0.115
125408,2020-06-11,Douglas,Georgia,13097.0,634,27.0,-0.08,.,,-0.0502
126980,2020-06-12,Douglas,Georgia,13097.0,641,28.0,-0.0773,.,,0.005650000200000001
128552,2020-06-13,Douglas,Georgia,13097.0,651,28.0,-0.0745,.,,0.013000000000000001
130125,2020-06-14,Douglas,Georgia,13097.0,655,28.0,-0.0719,.,,0.00033499998999999994
131698,2020-06-15,Douglas,Georgia,13097.0,660,28.0,-0.0696,.,,0.0032299998999999998
133272,2020-06-16,Douglas,Georgia,13097.0,669,32.0,-0.0675,.,,0.056200001
134847,2020-06-17,Douglas,Georgia,13097.0,682,33.0,-0.0659,.,,0.111
136422,2020-06-18,Douglas,Georgia,13097.0,698,34.0,-0.0647,.,,0.13
137999,2020-06-19,Douglas,Georgia,13097.0,708,34.0,-0.064,.,,0.145
139576,2020-06-20,Douglas,Georgia,13097.0,712,35.0,-0.0636,.,,0.163
141154,2020-06-21,Douglas,Georgia,13097.0,724,35.0,-0.0637,.,,0.16
142733,2020-06-22,Douglas,Georgia,13097.0,740,36.0,-0.0642,.,,0.134
144313,2020-06-23,Douglas,Georgia,13097.0,778,35.0,-0.0651,.,,0.11900000000000001
145893,2020-06-24,Douglas,Georgia,13097.0,793,35.0,-0.0662,.,,0.11
147473,2020-06-25,Douglas,Georgia,13097.0,821,35.0,-0.0675,.,,0.0603
149053,2020-06-26,Douglas,Georgia,13097.0,843,36.0,-0.0691,.,,0.0392
150634,2020-06-27,Douglas,Georgia,13097.0,864,36.0,-0.0708,.,,0.050799999000000005
152215,2020-06-28,Douglas,Georgia,13097.0,878,36.0,-0.0728,.,,0.05739999900000001
153796,2020-06-29,Douglas,Georgia,13097.0,879,36.0,-0.075,.,,0.075800002
155377,2020-06-30,Douglas,Georgia,13097.0,917,36.0,-0.0774,.,,0.081200004
156958,2020-07-01,Douglas,Georgia,13097.0,971,36.0,-0.08,.,,0.078400001
158539,2020-07-02,Douglas,Georgia,13097.0,1021,36.0,-0.0828,.,,0.10099999999999999
160120,2020-07-03,Douglas,Georgia,13097.0,1041,36.0,-0.0857,.,,0.074100003
161702,2020-07-04,Douglas,Georgia,13097.0,1079,36.0,-0.0888,.,,0.09929999699999999
163284,2020-07-05,Douglas,Georgia,13097.0,1101,36.0,-0.0919,.,,0.124
164866,2020-07-06,Douglas,Georgia,13097.0,1137,37.0,-0.0949,.,,0.060699999000000004
166448,2020-07-07,Douglas,Georgia,13097.0,1179,37.0,-0.0977,.,,0.070699997
168030,2020-07-08,Douglas,Georgia,13097.0,1230,37.0,-0.1,.,,0.087800004
169613,2020-07-09,Douglas,Georgia,13097.0,1259,37.0,-0.103,.,,0.092200004
171196,2020-07-10,Douglas,Georgia,13097.0,1347,39.0,-0.104,.,,0.133
172779,2020-07-11,Douglas,Georgia,13097.0,1388,39.0,-0.106,.,,0.16500001
174362,2020-07-12,Douglas,Georgia,13097.0,1409,39.0,-0.107,.,,0.16899999999999998
175945,2020-07-13,Douglas,Georgia,13097.0,1461,39.0,-0.107,.,,0.21699999
177528,2020-07-14,Douglas,Georgia,13097.0,1499,40.0,-0.106,.,,0.21100000000000002
179111,2020-07-15,Douglas,Georgia,13097.0,1545,40.0,-0.105,.,,0.19699999999999998
180694,2020-07-16,Douglas,Georgia,13097.0,1576,40.0,-0.104,.,,0.18600000000000003
182277,2020-07-17,Douglas,Georgia,13097.0,1632,41.0,-0.102,.,,0.13699999
183861,2020-07-18,Douglas,Georgia,13097.0,1692,41.0,-0.1,.,,0.090400003
185445,2020-07-19,Douglas,Georgia,13097.0,1733,41.0,-0.0974,.,,0.121
187029,2020-07-20,Douglas,Georgia,13097.0,1750,41.0,-0.0947,.,,0.12899999
188614,2020-07-21,Douglas,Georgia,13097.0,1805,41.0,-0.0919,.,,0.107
190199,2020-07-22,Douglas,Georgia,13097.0,1853,43.0,-0.089,.,,0.089699998
191784,2020-07-23,Douglas,Georgia,13097.0,1914,44.0,-0.0859,.,,0.08640000199999999
193369,2020-07-24,Douglas,Georgia,13097.0,1970,45.0,-0.083,.,,0.145
194953,2020-07-25,Douglas,Georgia,13097.0,2027,46.0,-0.0802,.,,0.14
196537,2020-07-26,Douglas,Georgia,13097.0,2057,46.0,-0.0774,.,,0.0955
198121,2020-07-27,Douglas,Georgia,13097.0,2078,46.0,-0.0746,.,,0.076700002
199705,2020-07-28,Douglas,Georgia,13097.0,2117,46.0,-0.0719,.,,0.075000003
201290,2020-07-29,Douglas,Georgia,13097.0,2158,46.0,-0.0692,.,,0.102
202875,2020-07-30,Douglas,Georgia,13097.0,2203,47.0,-0.0666,.,,0.09489999699999999
204460,2020-07-31,Douglas,Georgia,13097.0,2245,48.0,-0.0642,.,,0.050299998
206045,2020-08-01,Douglas,Georgia,13097.0,2279,49.0,-0.0617,.,,0.08749999900000001
207630,2020-08-02,Douglas,Georgia,13097.0,2317,49.0,-0.0594,.,,0.141
209215,2020-08-03,Douglas,Georgia,13097.0,2331,49.0,-0.0572,.,,0.161
210800,2020-08-04,Douglas,Georgia,13097.0,2400,50.0,-0.0552,.,,0.14
212385,2020-08-05,Douglas,Georgia,13097.0,2464,50.0,-0.0534,.,,0.13
213970,2020-08-06,Douglas,Georgia,13097.0,2493,50.0,-0.0518,.,,0.114
215555,2020-08-07,Douglas,Georgia,13097.0,2549,50.0,-0.0503,.,,0.09790000300000001
217140,2020-08-08,Douglas,Georgia,13097.0,2602,51.0,-0.0492,.,,0.076099999
218725,2020-08-09,Douglas,Georgia,13097.0,2635,51.0,-0.0484,.,,0.0616
220310,2020-08-10,Douglas,Georgia,13097.0,2678,51.0,-0.0479,.,,0.048599999000000005
221895,2020-08-11,Douglas,Georgia,13097.0,2728,54.0,-0.0478,.,,0.084799998
223481,2020-08-12,Douglas,Georgia,13097.0,2773,54.0,-0.0482,.,,0.07389999900000001
225067,2020-08-13,Douglas,Georgia,13097.0,2812,56.0,-0.0489,.,,0.0735
226653,2020-08-14,Douglas,Georgia,13097.0,2838,56.0,-0.0501,.,,0.06419999900000001
228239,2020-08-15,Douglas,Georgia,13097.0,2859,58.0,-0.0516,.,,0.043400000999999994
229825,2020-08-16,Douglas,Georgia,13097.0,2874,58.0,-0.0532,.,,0.0317
231411,2020-08-17,Douglas,Georgia,13097.0,2892,58.0,-0.0551,.,,0.046399999000000004
232997,2020-08-18,Douglas,Georgia,13097.0,2911,59.0,-0.0571,.,,0.0077
234583,2020-08-19,Douglas,Georgia,13097.0,2928,60.0,-0.059,.,,0.0206
236169,2020-08-20,Douglas,Georgia,13097.0,2963,60.0,-0.061,.,,0.057799999000000005
237755,2020-08-21,Douglas,Georgia,13097.0,2992,60.0,-0.0627,.,,0.094599999
239341,2020-08-22,Douglas,Georgia,13097.0,3015,61.0,-0.0647,.,,0.125
240927,2020-08-23,Douglas,Georgia,13097.0,3029,62.0,-0.0666,.,,0.077100001
242513,2020-08-24,Douglas,Georgia,13097.0,3048,62.0,-0.0684,.,,0.062100000999999995
244100,2020-08-25,Douglas,Georgia,13097.0,3060,62.0,-0.0701,.,,0.11699999999999999
245687,2020-08-26,Douglas,Georgia,13097.0,3092,62.0,-0.0719,.,,0.105
247274,2020-08-27,Douglas,Georgia,13097.0,3105,62.0,-0.0736,.,,0.13500001
248861,2020-08-28,Douglas,Georgia,13097.0,3123,62.0,-0.0753,.,,0.14800000000000002
250448,2020-08-29,Douglas,Georgia,13097.0,3149,64.0,-0.0766,.,,0.0735
252035,2020-08-30,Douglas,Georgia,13097.0,3154,64.0,-0.0779,.,,0.088500001
253622,2020-08-31,Douglas,Georgia,13097.0,3167,64.0,-0.0788,.,,0.107
255209,2020-09-01,Douglas,Georgia,13097.0,3179,67.0,-0.0795,.,,0.11199999999999999
256796,2020-09-02,Douglas,Georgia,13097.0,3192,67.0,-0.0799,.,,0.11800000000000001
258383,2020-09-03,Douglas,Georgia,13097.0,3216,67.0,-0.08,.,,0.091399997
259970,2020-09-04,Douglas,Georgia,13097.0,3227,67.0,-0.08,.,,0.0339
261557,2020-09-05,Douglas,Georgia,13097.0,3238,67.0,-0.0796,.,,0.0557
263144,2020-09-06,Douglas,Georgia,13097.0,3250,67.0,-0.079,.,,0.022399999
264731,2020-09-07,Douglas,Georgia,13097.0,3260,67.0,-0.0784,.,,-0.0233
266318,2020-09-08,Douglas,Georgia,13097.0,3269,67.0,-0.0775,.,,0.0151
267905,2020-09-09,Douglas,Georgia,13097.0,3293,68.0,-0.0765,.,,0.07819999799999999
269492,2020-09-10,Douglas,Georgia,13097.0,3308,68.0,-0.0756,.,,0.013000000000000001
271079,2020-09-11,Douglas,Georgia,13097.0,3319,68.0,-0.0748,.,,0.013999999999999999
272666,2020-09-12,Douglas,Georgia,13097.0,3343,68.0,-0.0746,.,,-0.0165
274253,2020-09-13,Douglas,Georgia,13097.0,3350,68.0,-0.0746,.,,-0.027799999
275840,2020-09-14,Douglas,Georgia,13097.0,3358,69.0,-0.0749,.,,0.0123
277427,2020-09-15,Douglas,Georgia,13097.0,3373,69.0,-0.0757,.,,-0.061500002000000005
