,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
4988,2020-03-21,Baldwin,Georgia,13009.0,2,0.0,,,,-0.087800004
5729,2020-03-22,Baldwin,Georgia,13009.0,2,0.0,,,,-0.08209999700000001
6535,2020-03-23,Baldwin,Georgia,13009.0,2,0.0,,,,-0.122
7397,2020-03-24,Baldwin,Georgia,13009.0,2,0.0,,,,-0.122
8334,2020-03-25,Baldwin,Georgia,13009.0,2,0.0,,,,-0.23800001
9372,2020-03-26,Baldwin,Georgia,13009.0,2,0.0,,,,-0.245
10477,2020-03-27,Baldwin,Georgia,13009.0,2,0.0,,,,-0.235
11633,2020-03-28,Baldwin,Georgia,13009.0,2,0.0,,,,-0.259
12838,2020-03-29,Baldwin,Georgia,13009.0,2,0.0,,,,-0.28400001
14075,2020-03-30,Baldwin,Georgia,13009.0,3,1.0,,,,-0.289
15353,2020-03-31,Baldwin,Georgia,13009.0,5,1.0,,,,-0.33899999
16663,2020-04-01,Baldwin,Georgia,13009.0,7,1.0,,,,-0.28600001
18002,2020-04-02,Baldwin,Georgia,13009.0,7,1.0,,,,-0.31900001
19375,2020-04-03,Baldwin,Georgia,13009.0,11,1.0,,,,-0.34999999
20775,2020-04-04,Baldwin,Georgia,13009.0,11,1.0,,,,-0.38499999
22196,2020-04-05,Baldwin,Georgia,13009.0,15,1.0,,,,-0.366
23626,2020-04-06,Baldwin,Georgia,13009.0,20,1.0,,,,-0.39300001
25070,2020-04-07,Baldwin,Georgia,13009.0,27,1.0,,,,-0.36000001
26524,2020-04-08,Baldwin,Georgia,13009.0,30,1.0,,,,-0.37
27986,2020-04-09,Baldwin,Georgia,13009.0,32,1.0,,,,-0.38999999
29456,2020-04-10,Baldwin,Georgia,13009.0,35,1.0,,,,-0.34999999
30938,2020-04-11,Baldwin,Georgia,13009.0,47,1.0,,,,-0.32100001
32432,2020-04-12,Baldwin,Georgia,13009.0,53,2.0,,,,-0.36199999
33930,2020-04-13,Baldwin,Georgia,13009.0,54,2.0,,,,-0.32899999999999996
35432,2020-04-14,Baldwin,Georgia,13009.0,69,2.0,,,,-0.26499999
36939,2020-04-15,Baldwin,Georgia,13009.0,93,2.0,,,,-0.248
38452,2020-04-16,Baldwin,Georgia,13009.0,100,2.0,,,,-0.221
39967,2020-04-17,Baldwin,Georgia,13009.0,112,2.0,,,,-0.25799999
41486,2020-04-18,Baldwin,Georgia,13009.0,108,2.0,,,,-0.191
43008,2020-04-19,Baldwin,Georgia,13009.0,112,3.0,,,,-0.20999999
44534,2020-04-20,Baldwin,Georgia,13009.0,130,4.0,,,,-0.235
46061,2020-04-21,Baldwin,Georgia,13009.0,135,4.0,,,,-0.271
47591,2020-04-22,Baldwin,Georgia,13009.0,155,4.0,,,,-0.308
49122,2020-04-23,Baldwin,Georgia,13009.0,161,4.0,,,,-0.28
50653,2020-04-24,Baldwin,Georgia,13009.0,169,5.0,,,,-0.26899999
52185,2020-04-25,Baldwin,Georgia,13009.0,180,6.0,,,,-0.30599999
53720,2020-04-26,Baldwin,Georgia,13009.0,181,6.0,,,,-0.25099999
55256,2020-04-27,Baldwin,Georgia,13009.0,193,6.0,,,,-0.245
56793,2020-04-28,Baldwin,Georgia,13009.0,205,6.0,,,,-0.27200001
58331,2020-04-29,Baldwin,Georgia,13009.0,210,8.0,,,,-0.2
59869,2020-04-30,Baldwin,Georgia,13009.0,215,8.0,,,,-0.15899999
61407,2020-05-01,Baldwin,Georgia,13009.0,226,8.0,,,,-0.048900001
62948,2020-05-02,Baldwin,Georgia,13009.0,229,8.0,,,,0.0243
64490,2020-05-03,Baldwin,Georgia,13009.0,233,8.0,,,,-0.0034
66034,2020-05-04,Baldwin,Georgia,13009.0,239,9.0,,,,0.040100001
67579,2020-05-05,Baldwin,Georgia,13009.0,260,10.0,,,,0.0372
69126,2020-05-06,Baldwin,Georgia,13009.0,263,10.0,,,,0.07530000099999999
70677,2020-05-07,Baldwin,Georgia,13009.0,270,10.0,,,,0.09629999800000001
72231,2020-05-08,Baldwin,Georgia,13009.0,271,12.0,,,,0.036400001
73785,2020-05-09,Baldwin,Georgia,13009.0,270,12.0,,,,0.0244
75339,2020-05-10,Baldwin,Georgia,13009.0,271,12.0,,,,0.08209999700000001
76893,2020-05-11,Baldwin,Georgia,13009.0,275,13.0,,,,0.063600004
78447,2020-05-12,Baldwin,Georgia,13009.0,276,12.0,,,,0.07620000099999999
80001,2020-05-13,Baldwin,Georgia,13009.0,277,12.0,,,,-0.0012900000000000001
81555,2020-05-14,Baldwin,Georgia,13009.0,280,12.0,,,,-0.0436
83110,2020-05-15,Baldwin,Georgia,13009.0,282,12.0,,,,-0.059099998
84666,2020-05-16,Baldwin,Georgia,13009.0,284,12.0,,,,-0.065899998
86222,2020-05-17,Baldwin,Georgia,13009.0,287,14.0,,,,-0.107
87778,2020-05-18,Baldwin,Georgia,13009.0,290,14.0,,,,-0.08269999900000001
89334,2020-05-19,Baldwin,Georgia,13009.0,292,14.0,,,,-0.0328
90893,2020-05-20,Baldwin,Georgia,13009.0,296,14.0,,,,-0.133
92453,2020-05-21,Baldwin,Georgia,13009.0,299,16.0,,,,-0.15000001
94015,2020-05-22,Baldwin,Georgia,13009.0,329,19.0,,,,-0.16500001
95578,2020-05-23,Baldwin,Georgia,13009.0,329,24.0,,,,-0.20200001
97143,2020-05-24,Baldwin,Georgia,13009.0,331,24.0,,,,-0.171
98708,2020-05-25,Baldwin,Georgia,13009.0,330,25.0,,,,-0.09440000400000001
100273,2020-05-26,Baldwin,Georgia,13009.0,335,25.0,,,,-0.18799999
101838,2020-05-27,Baldwin,Georgia,13009.0,337,26.0,,,,-0.168
103404,2020-05-28,Baldwin,Georgia,13009.0,342,26.0,,,,-0.215
104970,2020-05-29,Baldwin,Georgia,13009.0,348,26.0,,,,-0.16699999999999998
106537,2020-05-30,Baldwin,Georgia,13009.0,343,26.0,,,,-0.16
108104,2020-05-31,Baldwin,Georgia,13009.0,345,26.0,,,,-0.15000001
109671,2020-06-01,Baldwin,Georgia,13009.0,349,26.0,,,,-0.16699999999999998
111238,2020-06-02,Baldwin,Georgia,13009.0,350,26.0,,,,-0.113
112807,2020-06-03,Baldwin,Georgia,13009.0,352,27.0,,,,-0.074000001
114377,2020-06-04,Baldwin,Georgia,13009.0,380,27.0,,,,0.026000001000000002
115948,2020-06-05,Baldwin,Georgia,13009.0,387,27.0,,,,-0.0051500001
117520,2020-06-06,Baldwin,Georgia,13009.0,387,27.0,,,,0.022500001000000002
119092,2020-06-07,Baldwin,Georgia,13009.0,388,27.0,,,,-0.0253
