,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
642,2020-03-07,Charlotte,Florida,12015.0,1,0.0,0.022,.019,,-0.048999999
725,2020-03-08,Charlotte,Florida,12015.0,1,0.0,0.0213,.0198,,-0.05739999900000001
826,2020-03-09,Charlotte,Florida,12015.0,1,0.0,0.0201,.0207,,-0.056400001
942,2020-03-10,Charlotte,Florida,12015.0,1,0.0,0.0186,.0213,,-0.047400001
1086,2020-03-11,Charlotte,Florida,12015.0,1,0.0,0.0165,.0215,,-0.047600000999999996
1260,2020-03-12,Charlotte,Florida,12015.0,1,0.0,0.014,.0213,,-0.068800002
1480,2020-03-13,Charlotte,Florida,12015.0,1,0.0,0.0108,.0205,,-0.062799998
1744,2020-03-14,Charlotte,Florida,12015.0,1,0.0,0.00696,.0184,,-0.081
2051,2020-03-15,Charlotte,Florida,12015.0,1,0.0,0.00245,.0153,,-0.061900000999999996
2393,2020-03-16,Charlotte,Florida,12015.0,1,0.0,-0.00268,.0111,,-0.07150000299999999
2773,2020-03-17,Charlotte,Florida,12015.0,1,0.0,-0.00836,.00591,,-0.071400002
3203,2020-03-18,Charlotte,Florida,12015.0,1,0.0,-0.0146,-.000408,,-0.08510000300000001
3705,2020-03-19,Charlotte,Florida,12015.0,1,0.0,-0.0213,-.00793,,-0.0634
4282,2020-03-20,Charlotte,Florida,12015.0,2,0.0,-0.0285,-.0168,,-0.090400003
4954,2020-03-21,Charlotte,Florida,12015.0,2,0.0,-0.0363,-.0273,,-0.1
5692,2020-03-22,Charlotte,Florida,12015.0,2,0.0,-0.0445,-.039,,-0.126
6498,2020-03-23,Charlotte,Florida,12015.0,3,0.0,-0.0532,-.0518,,-0.15899999
7360,2020-03-24,Charlotte,Florida,12015.0,3,0.0,-0.0624,-.0656,,-0.18799999
8296,2020-03-25,Charlotte,Florida,12015.0,3,0.0,-0.0722,-.0801,,-0.198
9333,2020-03-26,Charlotte,Florida,12015.0,4,0.0,-0.0827,-.0953,,-0.24699999
10436,2020-03-27,Charlotte,Florida,12015.0,8,0.0,-0.0938,-.111,,-0.29699999
11591,2020-03-28,Charlotte,Florida,12015.0,16,0.0,-0.106,-.127,,-0.31
12795,2020-03-29,Charlotte,Florida,12015.0,16,0.0,-0.118,-.142,,-0.317
14031,2020-03-30,Charlotte,Florida,12015.0,20,0.0,-0.13,-.157,,-0.30899999
15308,2020-03-31,Charlotte,Florida,12015.0,24,0.0,-0.143,-.172,,-0.308
16615,2020-04-01,Charlotte,Florida,12015.0,26,0.0,-0.155,-.186,,-0.303
17954,2020-04-02,Charlotte,Florida,12015.0,38,0.0,-0.167,-.199,,-0.27900001
19327,2020-04-03,Charlotte,Florida,12015.0,43,1.0,-0.178,-.21,,-0.243
20725,2020-04-04,Charlotte,Florida,12015.0,46,1.0,-0.189,-.221,,-0.257
22146,2020-04-05,Charlotte,Florida,12015.0,47,1.0,-0.198,-.23,,-0.26699999
23575,2020-04-06,Charlotte,Florida,12015.0,55,1.0,-0.206,-.238,,-0.28
