,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
962,2020-03-10,Kane,Illinois,17089.0,1,0.0,-0.0102,-.0286,-0.0419,-0.038699999
1110,2020-03-11,Kane,Illinois,17089.0,1,0.0,-0.011,-.0307,-0.047,0.0030499998999999997
1289,2020-03-12,Kane,Illinois,17089.0,2,0.0,-0.0121,-.0334,-0.0465,0.0154
1514,2020-03-13,Kane,Illinois,17089.0,2,0.0,-0.0137,-.0369,-0.0513,-0.0040899999
1782,2020-03-14,Kane,Illinois,17089.0,3,0.0,-0.0158,-.041,-0.0531,-0.0231
2096,2020-03-15,Kane,Illinois,17089.0,3,0.0,-0.0186,-.0458,-0.0555,-0.0623
2444,2020-03-16,Kane,Illinois,17089.0,3,0.0,-0.0221,-.0514,-0.0683,-0.06899999799999999
2829,2020-03-17,Kane,Illinois,17089.0,3,0.0,-0.0263,-.058,-0.0905,-0.077600002
3266,2020-03-18,Kane,Illinois,17089.0,4,0.0,-0.0312,-.0658,-0.11699999999999999,-0.163
3778,2020-03-19,Kane,Illinois,17089.0,6,0.0,-0.0368,-.0748,-0.14800000000000002,-0.18799999
4368,2020-03-20,Kane,Illinois,17089.0,8,0.0,-0.0431,-.085,-0.18100000000000002,-0.11900000000000001
5046,2020-03-21,Kane,Illinois,17089.0,8,0.0,-0.0502,-.0972,-0.217,-0.131
5791,2020-03-22,Kane,Illinois,17089.0,13,0.0,-0.0578,-.111,-0.248,-0.16699999999999998
6604,2020-03-23,Kane,Illinois,17089.0,23,0.0,-0.0658,-.125,-0.289,-0.21600001
7477,2020-03-24,Kane,Illinois,17089.0,24,0.0,-0.0741,-.14,-0.32299999999999995,-0.163
8425,2020-03-25,Kane,Illinois,17089.0,38,1.0,-0.0823,-.155,-0.35600000000000004,-0.17800000000000002
9466,2020-03-26,Kane,Illinois,17089.0,57,1.0,-0.0903,-.169,-0.382,-0.226
10574,2020-03-27,Kane,Illinois,17089.0,77,2.0,-0.0978,-.183,-0.4,-0.31900001
11736,2020-03-28,Kane,Illinois,17089.0,90,4.0,-0.105,-.196,-0.418,-0.354
12941,2020-03-29,Kane,Illinois,17089.0,100,7.0,-0.111,-.207,-0.419,-0.38
14182,2020-03-30,Kane,Illinois,17089.0,113,7.0,-0.117,-.216,-0.41600000000000004,-0.35600001
15464,2020-03-31,Kane,Illinois,17089.0,128,7.0,-0.122,-.225,-0.418,-0.315
16777,2020-04-01,Kane,Illinois,17089.0,142,8.0,-0.126,-.232,-0.413,-0.28799999
18116,2020-04-02,Kane,Illinois,17089.0,154,8.0,-0.131,-.239,-0.41600000000000004,-0.271
19492,2020-04-03,Kane,Illinois,17089.0,176,9.0,-0.135,-.245,-0.43,-0.30700001
20893,2020-04-04,Kane,Illinois,17089.0,207,12.0,-0.139,-.25,-0.428,-0.34
22315,2020-04-05,Kane,Illinois,17089.0,220,15.0,-0.143,-.256,-0.42700000000000005,-0.31099999
23746,2020-04-06,Kane,Illinois,17089.0,234,15.0,-0.146,-.261,-0.431,-0.25299999
25190,2020-04-07,Kane,Illinois,17089.0,255,18.0,-0.15,-.266,-0.425,-0.32899999999999996
26645,2020-04-08,Kane,Illinois,17089.0,296,19.0,-0.154,-.272,-0.43,-0.36199999
28107,2020-04-09,Kane,Illinois,17089.0,318,20.0,-0.158,-.277,-0.439,-0.32699999
29579,2020-04-10,Kane,Illinois,17089.0,339,22.0,-0.161,-.282,-0.436,-0.266
31061,2020-04-11,Kane,Illinois,17089.0,376,22.0,-0.165,-.287,-0.43799999999999994,-0.25
32555,2020-04-12,Kane,Illinois,17089.0,403,23.0,-0.168,-.292,-0.452,-0.32100001
34053,2020-04-13,Kane,Illinois,17089.0,421,24.0,-0.17,-.298,-0.44799999999999995,-0.389
35555,2020-04-14,Kane,Illinois,17089.0,448,24.0,-0.173,-.303,-0.45,-0.31900001
37062,2020-04-15,Kane,Illinois,17089.0,463,24.0,-0.175,-.309,-0.43799999999999994,-0.26100001
38575,2020-04-16,Kane,Illinois,17089.0,490,25.0,-0.178,-.315,-0.42700000000000005,-0.33000001
40090,2020-04-17,Kane,Illinois,17089.0,538,28.0,-0.18,-.32,-0.419,-0.37
41609,2020-04-18,Kane,Illinois,17089.0,582,30.0,-0.182,-.326,-0.408,-0.35800001
43131,2020-04-19,Kane,Illinois,17089.0,605,30.0,-0.183,-.331,-0.391,-0.31299999
44657,2020-04-20,Kane,Illinois,17089.0,638,31.0,-0.185,-.336,-0.384,-0.28999999
46184,2020-04-21,Kane,Illinois,17089.0,684,33.0,-0.186,-.341,-0.365,-0.345
47714,2020-04-22,Kane,Illinois,17089.0,764,37.0,-0.187,-.346,-0.365,-0.29899999
49245,2020-04-23,Kane,Illinois,17089.0,863,39.0,-0.188,-.35,-0.365,-0.31200001
50776,2020-04-24,Kane,Illinois,17089.0,962,39.0,-0.188,-.353,-0.359,-0.31799999
52309,2020-04-25,Kane,Illinois,17089.0,1049,39.0,-0.189,-.355,-0.363,-0.32499999
53844,2020-04-26,Kane,Illinois,17089.0,1109,39.0,-0.189,-.357,-0.36200000000000004,-0.28400001
55380,2020-04-27,Kane,Illinois,17089.0,1185,39.0,-0.188,-.359,-0.366,-0.25799999
56917,2020-04-28,Kane,Illinois,17089.0,1308,41.0,-0.188,-.359,-0.377,-0.31299999
58455,2020-04-29,Kane,Illinois,17089.0,1412,45.0,-0.187,-.359,-0.368,-0.35100001
59993,2020-04-30,Kane,Illinois,17089.0,1526,48.0,-0.185,-.358,-0.35700000000000004,-0.31799999
61531,2020-05-01,Kane,Illinois,17089.0,1677,52.0,-0.184,-.356,-0.34700000000000003,-0.30399999
63072,2020-05-02,Kane,Illinois,17089.0,1803,57.0,-0.181,-.354,-0.33799999999999997,-0.26199999
64614,2020-05-03,Kane,Illinois,17089.0,1935,57.0,-0.179,-.35,-0.336,-0.27500001
66158,2020-05-04,Kane,Illinois,17089.0,2115,57.0,-0.175,-.346,-0.32899999999999996,-0.292
67703,2020-05-05,Kane,Illinois,17089.0,2206,65.0,-0.172,-.342,-0.327,-0.271
69250,2020-05-06,Kane,Illinois,17089.0,2331,74.0,-0.168,-.338,-0.321,-0.24600001
70801,2020-05-07,Kane,Illinois,17089.0,2498,78.0,-0.165,-.334,-0.314,-0.198
72355,2020-05-08,Kane,Illinois,17089.0,2668,84.0,-0.161,-.33,-0.32299999999999995,-0.18600000000000003
73909,2020-05-09,Kane,Illinois,17089.0,2818,88.0,-0.157,-.327,-0.32,-0.204
75463,2020-05-10,Kane,Illinois,17089.0,3003,89.0,-0.154,-.324,-0.32299999999999995,-0.21100000000000002
77017,2020-05-11,Kane,Illinois,17089.0,3126,90.0,-0.151,-.322,-0.322,-0.243
78571,2020-05-12,Kane,Illinois,17089.0,3592,93.0,-0.148,-.321,-0.317,-0.23800001
80125,2020-05-13,Kane,Illinois,17089.0,3744,98.0,-0.146,-.319,-0.327,-0.23
81679,2020-05-14,Kane,Illinois,17089.0,3995,104.0,-0.143,-.318,-0.33299999999999996,-0.252
83234,2020-05-15,Kane,Illinois,17089.0,4159,107.0,-0.141,-.317,-0.327,-0.27000001
84790,2020-05-16,Kane,Illinois,17089.0,4263,109.0,-0.14,-.316,-0.32799999999999996,-0.259
86346,2020-05-17,Kane,Illinois,17089.0,4396,115.0,-0.138,-.315,-0.324,-0.237
87902,2020-05-18,Kane,Illinois,17089.0,4584,115.0,-0.137,-.314,-0.321,-0.20200001
89458,2020-05-19,Kane,Illinois,17089.0,4682,120.0,-0.135,-.313,-0.32,-0.23899999
91017,2020-05-20,Kane,Illinois,17089.0,4813,136.0,-0.134,-.311,-0.312,-0.26899999
92577,2020-05-21,Kane,Illinois,17089.0,4981,145.0,-0.133,-.309,-0.306,-0.215
94139,2020-05-22,Kane,Illinois,17089.0,5327,150.0,-0.131,-.307,-0.31,-0.20299999
95702,2020-05-23,Kane,Illinois,17089.0,5575,152.0,-0.13,-.304,-0.311,-0.228
97267,2020-05-24,Kane,Illinois,17089.0,5703,152.0,-0.128,-.301,-0.312,-0.233
98832,2020-05-25,Kane,Illinois,17089.0,5846,152.0,-0.127,-.298,-0.309,-0.228
100397,2020-05-26,Kane,Illinois,17089.0,5920,155.0,-0.125,-.295,-0.321,-0.207
101962,2020-05-27,Kane,Illinois,17089.0,6000,163.0,-0.122,-.292,-0.32899999999999996,-0.14300001
103528,2020-05-28,Kane,Illinois,17089.0,6145,167.0,-0.12,-.288,-0.33899999999999997,-0.19499999
105095,2020-05-29,Kane,Illinois,17089.0,6235,170.0,-0.117,-.284,-0.33899999999999997,-0.21699999
106662,2020-05-30,Kane,Illinois,17089.0,6327,176.0,-0.114,-.28,-0.33899999999999997,-0.192
108229,2020-05-31,Kane,Illinois,17089.0,6408,178.0,-0.111,-.275,-0.34,-0.20200001
109796,2020-06-01,Kane,Illinois,17089.0,6461,178.0,-0.108,-.271,-0.344,-0.15700001
111363,2020-06-02,Kane,Illinois,17089.0,6514,188.0,-0.105,-.266,-0.342,-0.15000001
112932,2020-06-03,Kane,Illinois,17089.0,6590,194.0,-0.102,-.262,-0.344,-0.21699999
114502,2020-06-04,Kane,Illinois,17089.0,6638,198.0,-0.099,-.258,-0.349,-0.182
116073,2020-06-05,Kane,Illinois,17089.0,6736,207.0,-0.0963,-.254,-0.35200000000000004,-0.139
117645,2020-06-06,Kane,Illinois,17089.0,6793,215.0,-0.0937,-.25,-0.35600000000000004,-0.147
119217,2020-06-07,Kane,Illinois,17089.0,6859,215.0,-0.0913,-.246,-0.35600000000000004,-0.115
120789,2020-06-08,Kane,Illinois,17089.0,6906,215.0,-0.0892,-.243,-0.355,-0.131
122361,2020-06-09,Kane,Illinois,17089.0,6956,221.0,-0.0874,-.24,-0.35100000000000003,-0.155
123933,2020-06-10,Kane,Illinois,17089.0,6956,221.0,-0.0858,-.237,-0.35200000000000004,-0.14399999
125505,2020-06-11,Kane,Illinois,17089.0,7053,227.0,-0.0845,-.235,-0.34,-0.17600000000000002
127077,2020-06-12,Kane,Illinois,17089.0,7074,228.0,-0.0834,-.232,-0.35,-0.184
128649,2020-06-13,Kane,Illinois,17089.0,7126,230.0,-0.0826,-.228,-0.35,-0.149
130222,2020-06-14,Kane,Illinois,17089.0,7154,231.0,-0.0821,-.225,-0.348,-0.154
131795,2020-06-15,Kane,Illinois,17089.0,7175,234.0,-0.0818,-.221,-0.35,-0.16599999
133369,2020-06-16,Kane,Illinois,17089.0,7223,234.0,-0.0816,-.217,-0.341,-0.13699999
134944,2020-06-17,Kane,Illinois,17089.0,7246,240.0,-0.0814,-.213,-0.32899999999999996,-0.13500001
136519,2020-06-18,Kane,Illinois,17089.0,7286,242.0,-0.0812,-.209,-0.335,-0.106
138096,2020-06-19,Kane,Illinois,17089.0,7342,245.0,-0.081,-.205,-0.324,-0.09350000300000001
139673,2020-06-20,Kane,Illinois,17089.0,7415,250.0,-0.0806,-.202,-0.32299999999999995,-0.124
141251,2020-06-21,Kane,Illinois,17089.0,7461,251.0,-0.0801,-.199,-0.326,-0.12300000000000001
142830,2020-06-22,Kane,Illinois,17089.0,7485,252.0,-0.0795,-.197,-0.33,-0.141
144410,2020-06-23,Kane,Illinois,17089.0,7514,254.0,-0.0788,-.195,-0.33899999999999997,-0.163
145990,2020-06-24,Kane,Illinois,17089.0,7553,255.0,-0.0779,-.193,-0.34,-0.17
147570,2020-06-25,Kane,Illinois,17089.0,7597,257.0,-0.0771,-.191,-0.33799999999999997,-0.205
149151,2020-06-26,Kane,Illinois,17089.0,7638,262.0,-0.0762,-.189,-0.33299999999999996,-0.22899999999999998
150732,2020-06-27,Kane,Illinois,17089.0,7656,265.0,-0.0755,-.188,-0.325,-0.23399999999999999
152313,2020-06-28,Kane,Illinois,17089.0,7683,266.0,-0.0748,-.186,-0.319,-0.214
153894,2020-06-29,Kane,Illinois,17089.0,7729,266.0,-0.0742,-.184,-0.312,-0.2
155475,2020-06-30,Kane,Illinois,17089.0,7750,269.0,-0.0738,-.181,-0.309,-0.14800000000000002
157056,2020-07-01,Kane,Illinois,17089.0,7792,272.0,-0.0733,-.179,-0.301,-0.081200004
158637,2020-07-02,Kane,Illinois,17089.0,7817,273.0,-0.0729,-.177,-0.297,-0.081699997
160218,2020-07-03,Kane,Illinois,17089.0,7858,275.0,-0.0726,-.174,-0.31,-0.090899996
161800,2020-07-04,Kane,Illinois,17089.0,7890,277.0,-0.0722,-.172,-0.271,-0.083800003
163382,2020-07-05,Kane,Illinois,17089.0,7917,277.0,-0.0718,-.169,-0.28,-0.090599999
164964,2020-07-06,Kane,Illinois,17089.0,7933,277.0,-0.0714,-.167,-0.28800000000000003,-0.0263
166546,2020-07-07,Kane,Illinois,17089.0,7964,277.0,-0.0709,-.165,-0.28,-0.037099997999999995
168128,2020-07-08,Kane,Illinois,17089.0,7998,280.0,-0.0705,-.163,-0.287,-0.11800000000000001
169711,2020-07-09,Kane,Illinois,17089.0,7998,281.0,-0.07,-.161,-0.29,-0.109
171294,2020-07-10,Kane,Illinois,17089.0,8028,281.0,-0.0695,-.16,-0.28600000000000003,-0.0876
172877,2020-07-11,Kane,Illinois,17089.0,8139,281.0,-0.0688,-.159,-0.284,-0.132
174460,2020-07-12,Kane,Illinois,17089.0,8160,281.0,-0.0681,-.159,-0.28600000000000003,-0.155
176043,2020-07-13,Kane,Illinois,17089.0,8196,281.0,-0.0674,-.159,-0.29600000000000004,-0.18000001
177626,2020-07-14,Kane,Illinois,17089.0,8214,285.0,-0.0665,-.159,-0.3,-0.20600000000000002
179209,2020-07-15,Kane,Illinois,17089.0,8274,286.0,-0.0657,-.159,-0.299,-0.17299999
180792,2020-07-16,Kane,Illinois,17089.0,8320,288.0,-0.0648,-.16,-0.292,-0.192
182375,2020-07-17,Kane,Illinois,17089.0,8352,288.0,-0.0638,-.16,-0.289,-0.21899999999999997
183959,2020-07-18,Kane,Illinois,17089.0,8397,289.0,-0.0627,-.16,-0.29100000000000004,-0.182
185543,2020-07-19,Kane,Illinois,17089.0,8448,289.0,-0.0617,-.159,-0.28800000000000003,-0.16599999
187127,2020-07-20,Kane,Illinois,17089.0,8473,290.0,-0.0608,-.159,-0.289,-0.17
188712,2020-07-21,Kane,Illinois,17089.0,8496,292.0,-0.0599,-.158,-0.284,-0.17900001
190297,2020-07-22,Kane,Illinois,17089.0,8548,294.0,-0.059,-.158,-0.28600000000000003,-0.185
191882,2020-07-23,Kane,Illinois,17089.0,8623,294.0,-0.0582,-.157,-0.28600000000000003,-0.19899999999999998
193467,2020-07-24,Kane,Illinois,17089.0,8694,294.0,-0.0574,-.156,-0.292,-0.17600000000000002
195051,2020-07-25,Kane,Illinois,17089.0,8738,294.0,-0.0567,-.155,-0.29100000000000004,-0.156
196635,2020-07-26,Kane,Illinois,17089.0,8738,294.0,-0.056,-.154,-0.29,-0.17299999
198219,2020-07-27,Kane,Illinois,17089.0,8853,294.0,-0.0552,-.153,-0.284,-0.15899999
199803,2020-07-28,Kane,Illinois,17089.0,8899,294.0,-0.0545,-.152,-0.287,-0.15800001
201388,2020-07-29,Kane,Illinois,17089.0,8979,297.0,-0.0537,-.15,-0.278,-0.163
202973,2020-07-30,Kane,Illinois,17089.0,9065,297.0,-0.0529,-.149,-0.27399999999999997,-0.138
204558,2020-07-31,Kane,Illinois,17089.0,9148,298.0,-0.0521,-.148,-0.27399999999999997,-0.146
206143,2020-08-01,Kane,Illinois,17089.0,9218,298.0,-0.0513,-.147,-0.271,-0.18899999999999997
207728,2020-08-02,Kane,Illinois,17089.0,9253,299.0,-0.0504,-.146,-0.271,-0.18799999
209313,2020-08-03,Kane,Illinois,17089.0,9330,299.0,-0.0495,-.145,-0.27899999999999997,-0.193
210898,2020-08-04,Kane,Illinois,17089.0,9401,299.0,-0.0486,-.145,-0.28300000000000003,-0.17800000000000002
212483,2020-08-05,Kane,Illinois,17089.0,9502,301.0,-0.0477,-.144,-0.298,-0.141
214068,2020-08-06,Kane,Illinois,17089.0,9582,302.0,-0.0468,-.143,-0.311,-0.145
215653,2020-08-07,Kane,Illinois,17089.0,9684,303.0,-0.046,-.142,-0.315,-0.175
217238,2020-08-08,Kane,Illinois,17089.0,9755,305.0,-0.0452,-.141,-0.32,-0.162
218823,2020-08-09,Kane,Illinois,17089.0,9814,305.0,-0.0445,-.14,-0.331,-0.152
220408,2020-08-10,Kane,Illinois,17089.0,9875,305.0,-0.044,-.139,-0.335,-0.163
221994,2020-08-11,Kane,Illinois,17089.0,9933,305.0,-0.0435,-.138,-0.33899999999999997,-0.17399999
223580,2020-08-12,Kane,Illinois,17089.0,10012,305.0,-0.0432,-.137,-0.33399999999999996,-0.168
225166,2020-08-13,Kane,Illinois,17089.0,10098,305.0,-0.0431,-.136,-0.331,-0.193
226752,2020-08-14,Kane,Illinois,17089.0,10169,305.0,-0.0432,-.135,-0.33799999999999997,-0.20100001
228338,2020-08-15,Kane,Illinois,17089.0,10224,305.0,-0.0435,-.134,-0.344,-0.17600000000000002
229924,2020-08-16,Kane,Illinois,17089.0,10296,305.0,-0.044,-.133,-0.342,-0.20299999
231510,2020-08-17,Kane,Illinois,17089.0,10366,305.0,-0.0445,-.133,-0.34,-0.16399999999999998
233096,2020-08-18,Kane,Illinois,17089.0,10458,306.0,-0.0451,-.133,-0.342,-0.15000001
234682,2020-08-19,Kane,Illinois,17089.0,10489,306.0,-0.0456,-.133,-0.348,-0.184
236268,2020-08-20,Kane,Illinois,17089.0,10577,307.0,-0.0458,-.134,-0.348,-0.149
237854,2020-08-21,Kane,Illinois,17089.0,10673,307.0,-0.0456,-.134,-0.337,-0.102
239440,2020-08-22,Kane,Illinois,17089.0,10789,308.0,-0.0449,-.135,-0.337,-0.115
241026,2020-08-23,Kane,Illinois,17089.0,10814,308.0,-0.0438,-.135,-0.33,-0.111
242612,2020-08-24,Kane,Illinois,17089.0,10863,308.0,-0.0424,-.136,-0.32799999999999996,-0.16500001
244199,2020-08-25,Kane,Illinois,17089.0,10932,308.0,-0.0408,-.136,-0.326,-0.185
245786,2020-08-26,Kane,Illinois,17089.0,11007,312.0,-0.0392,-.137,-0.322,-0.14
247373,2020-08-27,Kane,Illinois,17089.0,11066,312.0,-0.0377,-.139,-0.322,-0.16599999
248960,2020-08-28,Kane,Illinois,17089.0,11114,312.0,-0.0365,-.14,-0.326,-0.17900001
250547,2020-08-29,Kane,Illinois,17089.0,11162,312.0,-0.0358,-.142,-0.324,-0.149
252134,2020-08-30,Kane,Illinois,17089.0,11203,312.0,-0.0356,-.144,-0.332,-0.168
253721,2020-08-31,Kane,Illinois,17089.0,11240,312.0,-0.0358,-.146,-0.32899999999999996,-0.145
255308,2020-09-01,Kane,Illinois,17089.0,11326,313.0,-0.0364,-.149,-0.32299999999999995,-0.105
256895,2020-09-02,Kane,Illinois,17089.0,11394,314.0,-0.0374,-.151,-0.322,-0.111
258482,2020-09-03,Kane,Illinois,17089.0,11444,317.0,-0.0387,-.153,-0.317,-0.10099999999999999
260069,2020-09-04,Kane,Illinois,17089.0,11623,317.0,-0.0402,-.155,-0.319,-0.10800000000000001
261656,2020-09-05,Kane,Illinois,17089.0,11705,317.0,-0.0417,-.157,-0.327,-0.12300000000000001
263243,2020-09-06,Kane,Illinois,17089.0,11737,317.0,-0.0432,-.159,-0.324,-0.090700001
264830,2020-09-07,Kane,Illinois,17089.0,11775,317.0,-0.0447,-.16,-0.33899999999999997,-0.12899999
266417,2020-09-08,Kane,Illinois,17089.0,11807,317.0,-0.046,-.162,-0.33799999999999997,-0.11900000000000001
268004,2020-09-09,Kane,Illinois,17089.0,11878,318.0,-0.0471,-.162,-0.344,-0.0559
269591,2020-09-10,Kane,Illinois,17089.0,11938,320.0,-0.0478,-.162,-0.345,-0.09269999699999999
271178,2020-09-11,Kane,Illinois,17089.0,12047,322.0,-0.048,-.161,-0.34700000000000003,-0.12300000000000001
272765,2020-09-12,Kane,Illinois,17089.0,12097,324.0,-0.0478,-.159,-0.33799999999999997,-0.138
274352,2020-09-13,Kane,Illinois,17089.0,12097,325.0,-0.0472,-.156,-0.344,-0.153
275939,2020-09-14,Kane,Illinois,17089.0,12188,325.0,-0.0462,-.153,-0.344,-0.18700001
277526,2020-09-15,Kane,Illinois,17089.0,12254,326.0,-0.0448,-.149,-0.341,-0.175
279113,2020-09-16,Kane,Illinois,17089.0,12339,327.0,-0.0432,-.145,-0.335,-0.19699999999999998
280700,2020-09-17,Kane,Illinois,17089.0,12427,327.0,-0.0414,-.141,-0.34700000000000003,-0.15899999
282287,2020-09-18,Kane,Illinois,17089.0,12493,327.0,-0.0394,-.137,-0.344,-0.10800000000000001
283874,2020-09-19,Kane,Illinois,17089.0,12631,327.0,-0.0374,-.133,-0.348,-0.13
285461,2020-09-20,Kane,Illinois,17089.0,12675,327.0,-0.0355,-.13,-0.342,-0.125
287048,2020-09-21,Kane,Illinois,17089.0,12714,327.0,-0.0337,-.128,-0.34299999999999997,-0.09480000300000001
288635,2020-09-22,Kane,Illinois,17089.0,12776,327.0,-0.0322,-.126,-0.344,-0.156
290222,2020-09-23,Kane,Illinois,17089.0,12832,327.0,-0.0309,-.125,-0.35100000000000003,-0.17900001
291809,2020-09-24,Kane,Illinois,17089.0,12935,327.0,-0.03,-.124,-0.34299999999999997,-0.175
293396,2020-09-25,Kane,Illinois,17089.0,12993,327.0,-0.0297,-.124,-0.34600000000000003,-0.147
294983,2020-09-26,Kane,Illinois,17089.0,13065,327.0,-0.0299,-.123,-0.33899999999999997,-0.11599999999999999
296570,2020-09-27,Kane,Illinois,17089.0,13092,327.0,-0.0305,-.124,-0.33899999999999997,-0.11
298157,2020-09-28,Kane,Illinois,17089.0,13195,327.0,-0.0315,-.124,-0.33899999999999997,-0.115
299744,2020-09-29,Kane,Illinois,17089.0,13243,327.0,-0.0327,-.125,-0.33899999999999997,-0.107
301331,2020-09-30,Kane,Illinois,17089.0,13337,327.0,-0.034,-.125,-0.331,-0.09189999800000001
302918,2020-10-01,Kane,Illinois,17089.0,13379,327.0,,,-0.33399999999999996,-0.092200004
