,date,county,state,fips,cases,deaths,new_cases,emp_combined,emp_combined_inclow,revenue_all,spend_all
282811,2020-03-06,Charleston,South Carolina,45019.0,1,0.0,0.0,0.00965,-.0156,-0.0622,-0.026799998999999998
282812,2020-03-07,Charleston,South Carolina,45019.0,1,0.0,0.0,0.00986,-.0163,-0.0563,-0.0008730000099999999
282813,2020-03-08,Charleston,South Carolina,45019.0,1,0.0,0.0,0.00998,-.017,-0.0534,0.040100001
282814,2020-03-09,Charleston,South Carolina,45019.0,1,0.0,0.0,0.00999,-.0178,-0.0757,0.007090000000000001
282815,2020-03-10,Charleston,South Carolina,45019.0,1,0.0,0.0,0.00989,-.0188,-0.0827,-0.0126
282816,2020-03-11,Charleston,South Carolina,45019.0,1,0.0,0.0,0.0097,-.02,-0.0485,-0.0059000002
282817,2020-03-12,Charleston,South Carolina,45019.0,1,0.0,0.0,0.00937,-.0215,-0.055999999999999994,0.0177
282818,2020-03-13,Charleston,South Carolina,45019.0,1,0.0,0.0,0.00881,-.0233,-0.039,0.0129
282819,2020-03-14,Charleston,South Carolina,45019.0,1,0.0,0.0,0.00791,-.0257,-0.0552,-0.0071399999
282820,2020-03-15,Charleston,South Carolina,45019.0,1,0.0,0.0,0.00663,-.0287,-0.0789,-0.0264
282821,2020-03-16,Charleston,South Carolina,45019.0,1,0.0,0.0,0.00479,-.0324,-0.0978,-0.0092900004
282822,2020-03-17,Charleston,South Carolina,45019.0,3,0.0,2.0,0.0022,-.037,-0.124,-0.0076000001000000005
282823,2020-03-18,Charleston,South Carolina,45019.0,4,0.0,1.0,-0.00137,-.0427,-0.165,-0.0141
282824,2020-03-19,Charleston,South Carolina,45019.0,5,0.0,1.0,-0.00612,-.0497,-0.188,-0.045400000999999995
282825,2020-03-20,Charleston,South Carolina,45019.0,6,1.0,1.0,-0.0122,-.0583,-0.273,-0.06580000400000001
282826,2020-03-21,Charleston,South Carolina,45019.0,9,1.0,3.0,-0.0197,-.0687,-0.32899999999999996,-0.09790000300000001
282827,2020-03-22,Charleston,South Carolina,45019.0,13,1.0,4.0,-0.0287,-.0806,-0.365,-0.12899999
282828,2020-03-23,Charleston,South Carolina,45019.0,31,1.0,18.0,-0.0391,-.094,-0.41200000000000003,-0.153
282829,2020-03-24,Charleston,South Carolina,45019.0,36,1.0,5.0,-0.0507,-.109,-0.452,-0.20800000000000002
282830,2020-03-25,Charleston,South Carolina,45019.0,52,1.0,16.0,-0.0634,-.124,-0.473,-0.22499999
282831,2020-03-26,Charleston,South Carolina,45019.0,60,1.0,8.0,-0.077,-.141,-0.514,-0.24600001
282832,2020-03-27,Charleston,South Carolina,45019.0,92,1.0,32.0,-0.0915,-.159,-0.534,-0.27900001
282833,2020-03-28,Charleston,South Carolina,45019.0,108,1.0,16.0,-0.107,-.177,-0.557,-0.294
282834,2020-03-29,Charleston,South Carolina,45019.0,116,1.0,8.0,-0.122,-.196,-0.562,-0.29800001
282835,2020-03-30,Charleston,South Carolina,45019.0,123,1.0,7.0,-0.138,-.216,-0.5529999999999999,-0.29600000000000004
282836,2020-03-31,Charleston,South Carolina,45019.0,142,1.0,19.0,-0.153,-.235,-0.54,-0.285
282837,2020-04-01,Charleston,South Carolina,45019.0,190,1.0,48.0,-0.168,-.254,-0.534,-0.28999999
282838,2020-04-02,Charleston,South Carolina,45019.0,231,1.0,41.0,-0.183,-.273,-0.495,-0.27500001
