,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
12287,2020-03-28,Huntingdon,Pennsylvania,42061.0,1,0.0,,,,-0.34599999
13508,2020-03-29,Huntingdon,Pennsylvania,42061.0,1,0.0,,,,-0.34400001
14769,2020-03-30,Huntingdon,Pennsylvania,42061.0,1,0.0,,,,-0.31200001
16066,2020-03-31,Huntingdon,Pennsylvania,42061.0,1,0.0,,,,-0.32100001
17393,2020-04-01,Huntingdon,Pennsylvania,42061.0,1,0.0,,,,-0.26300001
18751,2020-04-02,Huntingdon,Pennsylvania,42061.0,2,0.0,,,,-0.27700001
20135,2020-04-03,Huntingdon,Pennsylvania,42061.0,3,0.0,,,,-0.33399999
21547,2020-04-04,Huntingdon,Pennsylvania,42061.0,4,0.0,,,,-0.31799999
22974,2020-04-05,Huntingdon,Pennsylvania,42061.0,4,0.0,,,,-0.294
24411,2020-04-06,Huntingdon,Pennsylvania,42061.0,4,0.0,,,,-0.292
25861,2020-04-07,Huntingdon,Pennsylvania,42061.0,5,0.0,,,,-0.25799999
27320,2020-04-08,Huntingdon,Pennsylvania,42061.0,6,0.0,,,,-0.28999999
28785,2020-04-09,Huntingdon,Pennsylvania,42061.0,8,0.0,,,,-0.29899999
30262,2020-04-10,Huntingdon,Pennsylvania,42061.0,8,0.0,,,,-0.248
31754,2020-04-11,Huntingdon,Pennsylvania,42061.0,10,0.0,,,,-0.27599999
33250,2020-04-12,Huntingdon,Pennsylvania,42061.0,10,0.0,,,,-0.33899999
34751,2020-04-13,Huntingdon,Pennsylvania,42061.0,11,0.0,,,,-0.33299999999999996
36255,2020-04-14,Huntingdon,Pennsylvania,42061.0,11,0.0,,,,-0.34900001
37764,2020-04-15,Huntingdon,Pennsylvania,42061.0,12,0.0,,,,-0.26899999
39279,2020-04-16,Huntingdon,Pennsylvania,42061.0,12,0.0,,,,-0.18600000000000003
40797,2020-04-17,Huntingdon,Pennsylvania,42061.0,12,0.0,,,,-0.12300000000000001
42317,2020-04-18,Huntingdon,Pennsylvania,42061.0,12,0.0,,,,-0.072499998
43842,2020-04-19,Huntingdon,Pennsylvania,42061.0,13,0.0,,,,-0.068800002
45369,2020-04-20,Huntingdon,Pennsylvania,42061.0,13,0.0,,,,-0.10400000000000001
46898,2020-04-21,Huntingdon,Pennsylvania,42061.0,13,0.0,,,,-0.034899998
48429,2020-04-22,Huntingdon,Pennsylvania,42061.0,15,0.0,,,,-0.08389999699999999
49960,2020-04-23,Huntingdon,Pennsylvania,42061.0,20,0.0,,,,-0.127
51491,2020-04-24,Huntingdon,Pennsylvania,42061.0,20,0.0,,,,-0.23100001
53025,2020-04-25,Huntingdon,Pennsylvania,42061.0,22,0.0,,,,-0.26300001
54561,2020-04-26,Huntingdon,Pennsylvania,42061.0,22,0.0,,,,-0.23
56097,2020-04-27,Huntingdon,Pennsylvania,42061.0,24,0.0,,,,-0.152
57635,2020-04-28,Huntingdon,Pennsylvania,42061.0,26,0.0,,,,-0.14399999
59173,2020-04-29,Huntingdon,Pennsylvania,42061.0,29,0.0,,,,-0.14300001
