,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
4882,2020-03-21,El Dorado,California,6017.0,2,0.0,-0.114,-.26,-0.26899999999999996,-0.105
5619,2020-03-22,El Dorado,California,6017.0,2,0.0,-0.13,-.279,-0.29,-0.11599999999999999
6423,2020-03-23,El Dorado,California,6017.0,2,0.0,-0.146,-.297,-0.301,-0.14
7281,2020-03-24,El Dorado,California,6017.0,3,0.0,-0.162,-.314,-0.319,-0.17900001
8215,2020-03-25,El Dorado,California,6017.0,3,0.0,-0.177,-.329,-0.33899999999999997,-0.19
9251,2020-03-26,El Dorado,California,6017.0,9,0.0,-0.191,-.344,-0.355,-0.221
10351,2020-03-27,El Dorado,California,6017.0,12,0.0,-0.205,-.357,-0.37799999999999995,-0.245
11504,2020-03-28,El Dorado,California,6017.0,12,0.0,-0.217,-.37,-0.379,-0.25099999
12706,2020-03-29,El Dorado,California,6017.0,12,0.0,-0.228,-.381,-0.391,-0.26899999
13941,2020-03-30,El Dorado,California,6017.0,15,0.0,-0.238,-.392,-0.396,-0.29699999
15215,2020-03-31,El Dorado,California,6017.0,18,0.0,-0.247,-.401,-0.39799999999999996,-0.28999999
16522,2020-04-01,El Dorado,California,6017.0,18,0.0,-0.255,-.41,-0.39399999999999996,-0.29899999
17861,2020-04-02,El Dorado,California,6017.0,19,0.0,-0.261,-.417,-0.395,-0.31
19233,2020-04-03,El Dorado,California,6017.0,22,0.0,-0.266,-.424,-0.39,-0.30399999
20630,2020-04-04,El Dorado,California,6017.0,22,0.0,-0.271,-.429,-0.397,-0.29699999
22051,2020-04-05,El Dorado,California,6017.0,22,0.0,-0.274,-.434,-0.401,-0.29499999
23479,2020-04-06,El Dorado,California,6017.0,25,0.0,-0.277,-.438,-0.40700000000000003,-0.29100001
24921,2020-04-07,El Dorado,California,6017.0,28,0.0,-0.28,-.442,-0.41,-0.30399999
26374,2020-04-08,El Dorado,California,6017.0,29,0.0,-0.283,-.446,-0.42200000000000004,-0.32300001
27835,2020-04-09,El Dorado,California,6017.0,30,0.0,-0.286,-.451,-0.42100000000000004,-0.30599999
29304,2020-04-10,El Dorado,California,6017.0,32,0.0,-0.289,-.457,-0.43,-0.29800001
30786,2020-04-11,El Dorado,California,6017.0,32,0.0,-0.292,-.463,-0.433,-0.317
32280,2020-04-12,El Dorado,California,6017.0,32,0.0,-0.296,-.47,-0.433,-0.31900001
33778,2020-04-13,El Dorado,California,6017.0,34,0.0,-0.3,-.478,-0.423,-0.324
35280,2020-04-14,El Dorado,California,6017.0,35,0.0,-0.303,-.486,-0.41100000000000003,-0.303
36787,2020-04-15,El Dorado,California,6017.0,35,0.0,-0.307,-.494,-0.405,-0.28400001
38300,2020-04-16,El Dorado,California,6017.0,35,0.0,-0.31,-.503,-0.39899999999999997,-0.28600001
39815,2020-04-17,El Dorado,California,6017.0,36,0.0,-0.313,-.51,-0.39,-0.28400001
41334,2020-04-18,El Dorado,California,6017.0,36,0.0,-0.315,-.518,-0.38799999999999996,-0.28
42856,2020-04-19,El Dorado,California,6017.0,36,0.0,-0.317,-.524,-0.385,-0.257
44382,2020-04-20,El Dorado,California,6017.0,38,0.0,-0.318,-.529,-0.382,-0.248
45909,2020-04-21,El Dorado,California,6017.0,39,0.0,-0.319,-.534,-0.37,-0.23100001
47439,2020-04-22,El Dorado,California,6017.0,39,0.0,-0.32,-.538,-0.366,-0.23399999999999999
48970,2020-04-23,El Dorado,California,6017.0,40,0.0,-0.32,-.541,-0.37200000000000005,-0.23600000000000002
50501,2020-04-24,El Dorado,California,6017.0,42,0.0,-0.321,-.544,-0.384,-0.25299999
52033,2020-04-25,El Dorado,California,6017.0,42,0.0,-0.321,-.547,-0.382,-0.23800001
53568,2020-04-26,El Dorado,California,6017.0,42,0.0,-0.321,-.549,-0.389,-0.24100000000000002
55104,2020-04-27,El Dorado,California,6017.0,43,0.0,-0.321,-.552,-0.39,-0.228
56640,2020-04-28,El Dorado,California,6017.0,44,0.0,-0.321,-.555,-0.41100000000000003,-0.25099999
58178,2020-04-29,El Dorado,California,6017.0,44,0.0,-0.321,-.557,-0.40700000000000003,-0.228
59716,2020-04-30,El Dorado,California,6017.0,44,0.0,-0.321,-.559,-0.402,-0.22
61254,2020-05-01,El Dorado,California,6017.0,47,0.0,-0.32,-.56,-0.38799999999999996,-0.20600000000000002
62795,2020-05-02,El Dorado,California,6017.0,47,0.0,-0.32,-.561,-0.381,-0.20900001
64337,2020-05-03,El Dorado,California,6017.0,47,0.0,-0.318,-.562,-0.36200000000000004,-0.204
65881,2020-05-04,El Dorado,California,6017.0,53,0.0,-0.316,-.562,-0.35600000000000004,-0.2
67426,2020-05-05,El Dorado,California,6017.0,53,0.0,-0.314,-.561,-0.34600000000000003,-0.191
68973,2020-05-06,El Dorado,California,6017.0,54,0.0,-0.311,-.56,-0.341,-0.20800000000000002
70523,2020-05-07,El Dorado,California,6017.0,54,0.0,-0.307,-.558,-0.341,-0.21600001
72077,2020-05-08,El Dorado,California,6017.0,54,0.0,-0.303,-.555,-0.33399999999999996,-0.22
73631,2020-05-09,El Dorado,California,6017.0,54,0.0,-0.298,-.552,-0.33299999999999996,-0.19
75185,2020-05-10,El Dorado,California,6017.0,54,0.0,-0.293,-.548,-0.34299999999999997,-0.18600000000000003
76739,2020-05-11,El Dorado,California,6017.0,56,0.0,-0.286,-.544,-0.342,-0.18600000000000003
78293,2020-05-12,El Dorado,California,6017.0,60,0.0,-0.28,-.539,-0.345,-0.162
79847,2020-05-13,El Dorado,California,6017.0,60,0.0,-0.273,-.533,-0.34,-0.14399999
81401,2020-05-14,El Dorado,California,6017.0,62,0.0,-0.267,-.528,-0.331,-0.12899999
82956,2020-05-15,El Dorado,California,6017.0,64,0.0,-0.26,-.522,-0.336,-0.138
84512,2020-05-16,El Dorado,California,6017.0,64,0.0,-0.254,-.516,-0.325,-0.15899999
86068,2020-05-17,El Dorado,California,6017.0,65,0.0,-0.248,-.509,-0.313,-0.16599999
87624,2020-05-18,El Dorado,California,6017.0,67,0.0,-0.242,-.503,-0.314,-0.17
89180,2020-05-19,El Dorado,California,6017.0,67,0.0,-0.236,-.497,-0.305,-0.17200001
