,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
6105,2020-03-22,Scotland,North Carolina,37165.0,1,0.0,,,,-0.18799999
6944,2020-03-23,Scotland,North Carolina,37165.0,1,0.0,,,,-0.207
7838,2020-03-24,Scotland,North Carolina,37165.0,1,0.0,,,,-0.461
8808,2020-03-25,Scotland,North Carolina,37165.0,1,0.0,,,,-0.50599998
9867,2020-03-26,Scotland,North Carolina,37165.0,1,0.0,,,,-0.47499999
10998,2020-03-27,Scotland,North Carolina,37165.0,1,0.0,,,,-0.42500001
12169,2020-03-28,Scotland,North Carolina,37165.0,1,0.0,,,,-0.361
13389,2020-03-29,Scotland,North Carolina,37165.0,2,0.0,,,,-0.31900001
14647,2020-03-30,Scotland,North Carolina,37165.0,2,0.0,,,,-0.30899999
15938,2020-03-31,Scotland,North Carolina,37165.0,2,0.0,,,,-0.156
17264,2020-04-01,Scotland,North Carolina,37165.0,2,0.0,,,,-0.184
18620,2020-04-02,Scotland,North Carolina,37165.0,2,0.0,,,,-0.26499999
20003,2020-04-03,Scotland,North Carolina,37165.0,2,0.0,,,,-0.29899999
21415,2020-04-04,Scotland,North Carolina,37165.0,2,0.0,,,,-0.25799999
22842,2020-04-05,Scotland,North Carolina,37165.0,2,0.0,,,,-0.245
24277,2020-04-06,Scotland,North Carolina,37165.0,2,0.0,,,,-0.34099999
25725,2020-04-07,Scotland,North Carolina,37165.0,3,0.0,,,,-0.34400001
27182,2020-04-08,Scotland,North Carolina,37165.0,3,0.0,,,,-0.32800001
28646,2020-04-09,Scotland,North Carolina,37165.0,4,0.0,,,,-0.271
30122,2020-04-10,Scotland,North Carolina,37165.0,4,0.0,,,,-0.303
31611,2020-04-11,Scotland,North Carolina,37165.0,9,0.0,,,,-0.40900001
33107,2020-04-12,Scotland,North Carolina,37165.0,9,0.0,,,,-0.486
34608,2020-04-13,Scotland,North Carolina,37165.0,9,0.0,,,,-0.45899999
36111,2020-04-14,Scotland,North Carolina,37165.0,9,0.0,,,,-0.36199999
37620,2020-04-15,Scotland,North Carolina,37165.0,9,0.0,,,,-0.42199999
39135,2020-04-16,Scotland,North Carolina,37165.0,9,0.0,,,,-0.43900001
40653,2020-04-17,Scotland,North Carolina,37165.0,11,0.0,,,,-0.37799999
42173,2020-04-18,Scotland,North Carolina,37165.0,11,0.0,,,,-0.35499999
43698,2020-04-19,Scotland,North Carolina,37165.0,12,0.0,,,,-0.31799999
45225,2020-04-20,Scotland,North Carolina,37165.0,12,0.0,,,,-0.35100001
46754,2020-04-21,Scotland,North Carolina,37165.0,13,0.0,,,,-0.39399999
48284,2020-04-22,Scotland,North Carolina,37165.0,15,0.0,,,,-0.345
49815,2020-04-23,Scotland,North Carolina,37165.0,16,0.0,,,,-0.31900001
51346,2020-04-24,Scotland,North Carolina,37165.0,17,0.0,,,,-0.37200001
52880,2020-04-25,Scotland,North Carolina,37165.0,21,0.0,,,,-0.37099999
54416,2020-04-26,Scotland,North Carolina,37165.0,22,0.0,,,,-0.39899999
55952,2020-04-27,Scotland,North Carolina,37165.0,23,0.0,,,,-0.39399999
57489,2020-04-28,Scotland,North Carolina,37165.0,24,0.0,,,,-0.45100001
59027,2020-04-29,Scotland,North Carolina,37165.0,24,0.0,,,,-0.42899999
60565,2020-04-30,Scotland,North Carolina,37165.0,24,0.0,,,,-0.40799999
62104,2020-05-01,Scotland,North Carolina,37165.0,26,0.0,,,,-0.384
63646,2020-05-02,Scotland,North Carolina,37165.0,29,0.0,,,,-0.41999999
65189,2020-05-03,Scotland,North Carolina,37165.0,29,0.0,,,,-0.35699999
66733,2020-05-04,Scotland,North Carolina,37165.0,30,0.0,,,,-0.28600001
68279,2020-05-05,Scotland,North Carolina,37165.0,30,0.0,,,,-0.27900001
69826,2020-05-06,Scotland,North Carolina,37165.0,32,0.0,,,,-0.292
71378,2020-05-07,Scotland,North Carolina,37165.0,34,0.0,,,,-0.34200001
72932,2020-05-08,Scotland,North Carolina,37165.0,36,0.0,,,,-0.38699999
74486,2020-05-09,Scotland,North Carolina,37165.0,36,0.0,,,,-0.35100001
76040,2020-05-10,Scotland,North Carolina,37165.0,40,0.0,,,,-0.39199999
77594,2020-05-11,Scotland,North Carolina,37165.0,41,0.0,,,,-0.39700001
79148,2020-05-12,Scotland,North Carolina,37165.0,43,0.0,,,,-0.41200000000000003
