,date,county,state,fips,cases,deaths,new_cases,emp_combined,emp_combined_inclow,revenue_all,spend_all
59052,2020-03-12,Sarasota,Florida,12115.0,2,0.0,0.0,0.0206,.00604,-0.111,-0.0261
59053,2020-03-13,Sarasota,Florida,12115.0,2,0.0,0.0,0.0175,.00206,-0.133,-0.053300001
59054,2020-03-14,Sarasota,Florida,12115.0,2,0.0,0.0,0.014,-.0023,-0.156,-0.030200001
59055,2020-03-15,Sarasota,Florida,12115.0,2,0.0,0.0,0.01,-.00668,-0.193,-0.053199999000000005
59056,2020-03-16,Sarasota,Florida,12115.0,3,0.0,1.0,0.00566,-.0112,-0.20800000000000002,-0.04630000099999999
59057,2020-03-17,Sarasota,Florida,12115.0,4,0.0,1.0,0.000842,-.016,-0.223,-0.0175
59058,2020-03-18,Sarasota,Florida,12115.0,4,0.0,0.0,-0.00444,-.0214,-0.243,-0.077399999
59059,2020-03-19,Sarasota,Florida,12115.0,6,0.0,2.0,-0.0102,-.0276,-0.29600000000000004,-0.079400003
59060,2020-03-20,Sarasota,Florida,12115.0,8,0.0,2.0,-0.0165,-.0349,-0.312,-0.080799997
59061,2020-03-21,Sarasota,Florida,12115.0,14,0.0,6.0,-0.0232,-.0437,-0.327,-0.12
59062,2020-03-22,Sarasota,Florida,12115.0,17,0.0,3.0,-0.0303,-.0538,-0.348,-0.11599999999999999
59063,2020-03-23,Sarasota,Florida,12115.0,21,0.0,4.0,-0.0378,-.0652,-0.377,-0.17200001
59064,2020-03-24,Sarasota,Florida,12115.0,26,0.0,5.0,-0.0456,-.0778,-0.44,-0.20200001
59065,2020-03-25,Sarasota,Florida,12115.0,32,1.0,6.0,-0.0535,-.0912,-0.474,-0.22400001
59066,2020-03-26,Sarasota,Florida,12115.0,34,2.0,2.0,-0.0615,-.105,-0.46799999999999997,-0.27500001
59067,2020-03-27,Sarasota,Florida,12115.0,43,2.0,9.0,-0.0695,-.119,-0.502,-0.317
59068,2020-03-28,Sarasota,Florida,12115.0,50,2.0,7.0,-0.0774,-.134,-0.535,-0.33799999999999997
59069,2020-03-29,Sarasota,Florida,12115.0,61,2.0,11.0,-0.085,-.148,-0.529,-0.35200000000000004
59070,2020-03-30,Sarasota,Florida,12115.0,67,2.0,6.0,-0.0924,-.161,-0.532,-0.31200001
59071,2020-03-31,Sarasota,Florida,12115.0,76,3.0,9.0,-0.0995,-.174,-0.527,-0.33000001
59072,2020-04-01,Sarasota,Florida,12115.0,99,3.0,23.0,-0.106,-.186,-0.508,-0.26499999
59073,2020-04-02,Sarasota,Florida,12115.0,110,7.0,11.0,-0.113,-.198,-0.532,-0.223
59074,2020-04-03,Sarasota,Florida,12115.0,124,7.0,14.0,-0.12,-.209,-0.547,-0.23899999
59075,2020-04-04,Sarasota,Florida,12115.0,129,7.0,5.0,-0.126,-.219,-0.552,-0.25600001
59076,2020-04-05,Sarasota,Florida,12115.0,140,7.0,11.0,-0.132,-.228,-0.557,-0.27000001
59077,2020-04-06,Sarasota,Florida,12115.0,159,7.0,19.0,-0.139,-.237,-0.574,-0.26899999
59078,2020-04-07,Sarasota,Florida,12115.0,173,7.0,14.0,-0.145,-.245,-0.584,-0.28099999
59079,2020-04-08,Sarasota,Florida,12115.0,184,8.0,11.0,-0.15,-.252,-0.596,-0.33500001
59080,2020-04-09,Sarasota,Florida,12115.0,201,10.0,17.0,-0.156,-.259,-0.597,-0.35100001
59081,2020-04-10,Sarasota,Florida,12115.0,211,10.0,10.0,-0.161,-.264,-0.613,-0.31799999
59082,2020-04-11,Sarasota,Florida,12115.0,223,12.0,12.0,-0.165,-.267,-0.604,-0.31600001
59083,2020-04-12,Sarasota,Florida,12115.0,226,12.0,3.0,-0.169,-.27,-0.6,-0.35200000000000004
59084,2020-04-13,Sarasota,Florida,12115.0,230,14.0,4.0,-0.173,-.272,-0.602,-0.37
