,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
5816,2020-03-22,Cerro Gordo,Iowa,19033.0,2,0.0,,,,-0.17800000000000002
6631,2020-03-23,Cerro Gordo,Iowa,19033.0,2,0.0,,,,-0.23100001
7511,2020-03-24,Cerro Gordo,Iowa,19033.0,2,0.0,,,,-0.24699999
8462,2020-03-25,Cerro Gordo,Iowa,19033.0,2,0.0,,,,-0.28999999
9505,2020-03-26,Cerro Gordo,Iowa,19033.0,2,0.0,,,,-0.33899999
10616,2020-03-27,Cerro Gordo,Iowa,19033.0,3,0.0,,,,-0.36199999
11779,2020-03-28,Cerro Gordo,Iowa,19033.0,4,0.0,,,,-0.361
12988,2020-03-29,Cerro Gordo,Iowa,19033.0,6,0.0,,,,-0.366
14230,2020-03-30,Cerro Gordo,Iowa,19033.0,7,0.0,,,,-0.43000001
15513,2020-03-31,Cerro Gordo,Iowa,19033.0,7,0.0,,,,-0.31299999
16826,2020-04-01,Cerro Gordo,Iowa,19033.0,8,0.0,,,,-0.26499999
18171,2020-04-02,Cerro Gordo,Iowa,19033.0,10,0.0,,,,-0.27200001
19547,2020-04-03,Cerro Gordo,Iowa,19033.0,10,0.0,,,,-0.28299999
20950,2020-04-04,Cerro Gordo,Iowa,19033.0,10,0.0,,,,-0.34700000000000003
22372,2020-04-05,Cerro Gordo,Iowa,19033.0,10,0.0,,,,-0.32800001
23804,2020-04-06,Cerro Gordo,Iowa,19033.0,12,0.0,,,,-0.19699999999999998
25249,2020-04-07,Cerro Gordo,Iowa,19033.0,12,0.0,,,,-0.32100001
26704,2020-04-08,Cerro Gordo,Iowa,19033.0,12,0.0,,,,-0.36000001
28166,2020-04-09,Cerro Gordo,Iowa,19033.0,13,0.0,,,,-0.361
29638,2020-04-10,Cerro Gordo,Iowa,19033.0,13,0.0,,,,-0.34099999
31122,2020-04-11,Cerro Gordo,Iowa,19033.0,13,0.0,,,,-0.31299999
32616,2020-04-12,Cerro Gordo,Iowa,19033.0,13,0.0,,,,-0.40000001
34115,2020-04-13,Cerro Gordo,Iowa,19033.0,13,0.0,,,,-0.48500001
35617,2020-04-14,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.37400001
37124,2020-04-15,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.27599999
38637,2020-04-16,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.29300001
40152,2020-04-17,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.26499999
41671,2020-04-18,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.315
43193,2020-04-19,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.31099999
44719,2020-04-20,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.213
46246,2020-04-21,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.278
47776,2020-04-22,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.27000001
49307,2020-04-23,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.377
50838,2020-04-24,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.37
52371,2020-04-25,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.29899999
53906,2020-04-26,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.22
55442,2020-04-27,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.27000001
56979,2020-04-28,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.36500001
58517,2020-04-29,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.35800001
60055,2020-04-30,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.25999999
61593,2020-05-01,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.22
63134,2020-05-02,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.198
64676,2020-05-03,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.21799999
66220,2020-05-04,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.271
67765,2020-05-05,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.19
69312,2020-05-06,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.17
70863,2020-05-07,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.111
72417,2020-05-08,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.20100001
73971,2020-05-09,Cerro Gordo,Iowa,19033.0,15,0.0,,,,-0.20800000000000002
75525,2020-05-10,Cerro Gordo,Iowa,19033.0,14,0.0,,,,-0.21799999
