,date,county,state,fips,cases,deaths,new_cases,emp_combined,emp_combined_inclow,revenue_all,spend_all
326692,2020-03-27,Navarro,Texas,48349.0,1,0.0,0.0,,,,-0.25799999
326693,2020-03-28,Navarro,Texas,48349.0,1,0.0,0.0,,,,-0.255
326694,2020-03-29,Navarro,Texas,48349.0,1,0.0,0.0,,,,-0.25799999
326695,2020-03-30,Navarro,Texas,48349.0,3,0.0,2.0,,,,-0.23999999
326696,2020-03-31,Navarro,Texas,48349.0,3,0.0,0.0,,,,-0.226
326697,2020-04-01,Navarro,Texas,48349.0,4,0.0,1.0,,,,-0.25099999
326698,2020-04-02,Navarro,Texas,48349.0,4,1.0,0.0,,,,-0.226
326699,2020-04-03,Navarro,Texas,48349.0,5,1.0,1.0,,,,-0.17200001
326700,2020-04-04,Navarro,Texas,48349.0,5,1.0,0.0,,,,-0.155
326701,2020-04-05,Navarro,Texas,48349.0,7,2.0,2.0,,,,-0.16699999999999998
326702,2020-04-06,Navarro,Texas,48349.0,8,2.0,1.0,,,,-0.17900001
326703,2020-04-07,Navarro,Texas,48349.0,8,2.0,0.0,,,,-0.185
326704,2020-04-08,Navarro,Texas,48349.0,8,2.0,0.0,,,,-0.17299999
326705,2020-04-09,Navarro,Texas,48349.0,11,2.0,3.0,,,,-0.185
326706,2020-04-10,Navarro,Texas,48349.0,11,2.0,0.0,,,,-0.22699999999999998
326707,2020-04-11,Navarro,Texas,48349.0,12,2.0,1.0,,,,-0.25
326708,2020-04-12,Navarro,Texas,48349.0,12,2.0,0.0,,,,-0.23899999
326709,2020-04-13,Navarro,Texas,48349.0,12,2.0,0.0,,,,-0.204
326710,2020-04-14,Navarro,Texas,48349.0,16,2.0,4.0,,,,-0.192
326711,2020-04-15,Navarro,Texas,48349.0,16,2.0,0.0,,,,-0.11599999999999999
326712,2020-04-16,Navarro,Texas,48349.0,18,2.0,2.0,,,,-0.041000001
326713,2020-04-17,Navarro,Texas,48349.0,20,2.0,2.0,,,,0.033199999
326714,2020-04-18,Navarro,Texas,48349.0,20,2.0,0.0,,,,0.078900002
326715,2020-04-19,Navarro,Texas,48349.0,20,2.0,0.0,,,,0.079499997
326716,2020-04-20,Navarro,Texas,48349.0,20,2.0,0.0,,,,0.099100001
