,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
3839,2020-03-19,West Baton Rouge,Louisiana,22121.0,2,0.0,,,,-0.28099999
4436,2020-03-20,West Baton Rouge,Louisiana,22121.0,3,0.0,,,,-0.308
5124,2020-03-21,West Baton Rouge,Louisiana,22121.0,3,0.0,,,,-0.27599999
5880,2020-03-22,West Baton Rouge,Louisiana,22121.0,3,0.0,,,,-0.37400001
6701,2020-03-23,West Baton Rouge,Louisiana,22121.0,4,1.0,,,,-0.435
7585,2020-03-24,West Baton Rouge,Louisiana,22121.0,5,1.0,,,,-0.419
8538,2020-03-25,West Baton Rouge,Louisiana,22121.0,7,1.0,,,,-0.42100000000000004
9587,2020-03-26,West Baton Rouge,Louisiana,22121.0,8,1.0,,,,-0.40900001
10708,2020-03-27,West Baton Rouge,Louisiana,22121.0,11,1.0,,,,-0.43700001
11875,2020-03-28,West Baton Rouge,Louisiana,22121.0,12,1.0,,,,-0.52200001
13085,2020-03-29,West Baton Rouge,Louisiana,22121.0,12,1.0,,,,-0.45500001
14332,2020-03-30,West Baton Rouge,Louisiana,22121.0,12,1.0,,,,-0.47400001
15617,2020-03-31,West Baton Rouge,Louisiana,22121.0,13,1.0,,,,-0.5
16932,2020-04-01,West Baton Rouge,Louisiana,22121.0,14,1.0,,,,-0.50999999
18277,2020-04-02,West Baton Rouge,Louisiana,22121.0,19,1.0,,,,-0.44100001
19655,2020-04-03,West Baton Rouge,Louisiana,22121.0,23,3.0,,,,-0.46900001
21061,2020-04-04,West Baton Rouge,Louisiana,22121.0,40,4.0,,,,-0.384
22484,2020-04-05,West Baton Rouge,Louisiana,22121.0,40,7.0,,,,-0.40700001
23917,2020-04-06,West Baton Rouge,Louisiana,22121.0,45,7.0,,,,-0.42100000000000004
25363,2020-04-07,West Baton Rouge,Louisiana,22121.0,52,7.0,,,,-0.39700001
26819,2020-04-08,West Baton Rouge,Louisiana,22121.0,54,9.0,,,,-0.384
28281,2020-04-09,West Baton Rouge,Louisiana,22121.0,57,9.0,,,,-0.29100001
29753,2020-04-10,West Baton Rouge,Louisiana,22121.0,61,9.0,,,,-0.26499999
31240,2020-04-11,West Baton Rouge,Louisiana,22121.0,66,9.0,,,,-0.26800001
32734,2020-04-12,West Baton Rouge,Louisiana,22121.0,68,9.0,,,,-0.28799999
34233,2020-04-13,West Baton Rouge,Louisiana,22121.0,72,9.0,,,,-0.207
35736,2020-04-14,West Baton Rouge,Louisiana,22121.0,76,9.0,,,,-0.13500001
37243,2020-04-15,West Baton Rouge,Louisiana,22121.0,78,9.0,,,,-0.075199999
38756,2020-04-16,West Baton Rouge,Louisiana,22121.0,81,9.0,,,,-0.09669999800000001
40271,2020-04-17,West Baton Rouge,Louisiana,22121.0,83,9.0,,,,-0.040399998
41790,2020-04-18,West Baton Rouge,Louisiana,22121.0,86,10.0,,,,-0.053300001
43312,2020-04-19,West Baton Rouge,Louisiana,22121.0,88,10.0,,,,0.0206
44838,2020-04-20,West Baton Rouge,Louisiana,22121.0,90,10.0,,,,-0.019200001
46365,2020-04-21,West Baton Rouge,Louisiana,22121.0,90,12.0,,,,-0.018200001
47895,2020-04-22,West Baton Rouge,Louisiana,22121.0,90,12.0,,,,-0.056899998
49426,2020-04-23,West Baton Rouge,Louisiana,22121.0,90,12.0,,,,-0.22
50957,2020-04-24,West Baton Rouge,Louisiana,22121.0,93,13.0,,,,-0.228
52490,2020-04-25,West Baton Rouge,Louisiana,22121.0,92,15.0,,,,-0.31299999
54025,2020-04-26,West Baton Rouge,Louisiana,22121.0,91,15.0,,,,-0.40099999
