,fips,pop,pop_density,median_age,afr,hisp,over60,median_income
0,1001,54571,91.80297,37.0,17.67055762218028,2.4005424126367485,17.08416558245222,29725.0
1,1003,182265,114.6476,41.1,9.384687131374648,4.384824294296766,23.361588895289824,29802.0
2,1005,27457,31.0292,39.0,46.891503077539426,5.05153512765415,20.7888698692501,17963.0
3,1007,22915,36.80638,37.8,22.024874536329914,1.7717652192886755,18.503163866463016,21958.0
4,1009,57322,88.90221,39.0,1.3275880115836851,8.070199923240642,20.971005896514427,26976.0
5,1011,10914,17.52395,38.5,70.24005864027855,7.119296316657504,19.314641744548286,21571.0
6,1013,20947,26.96476,40.1,43.41910536114957,0.9118250823506946,22.833818685253256,19685.0
7,1015,118572,195.7061,38.2,20.563033431164186,3.283237189218365,20.304119016293896,24069.0
8,1017,34215,57.35658000000001,41.5,38.74616396317405,1.5665643723513079,23.404939354084465,22754.0
9,1019,25989,46.93699,43.9,4.64812035861326,1.2312901612220555,25.645465389203125,23121.0
10,1021,43643,62.99018,37.6,9.692275966363448,7.83630822812364,19.26540338656829,24132.0
11,1023,13859,15.17131,43.4,43.3797532289487,0.5267335305577603,24.980157298506388,20652.0
12,1025,25833,20.85888,40.2,43.88185654008439,1.0490457941392792,22.080284906902026,21613.0
13,1027,13932,23.06771,42.0,14.829170255526844,2.863910422049957,24.045363192650015,22404.0
14,1029,14972,26.730929999999997,40.6,3.326208923323537,2.0504942559444297,22.588832487309645,23433.0
15,1031,49948,73.56418000000001,37.6,16.735404821013855,6.366621286137583,20.29710899335309,28172.0
16,1033,54428,91.84309,41.8,16.109355478797678,2.0081575659586974,23.81127360917175,25308.0
17,1035,13228,15.55949,43.0,46.48472936195948,1.2171152101602662,25.151194436044754,21085.0
18,1037,11539,17.72705,44.2,31.04255134760378,1.9932403154519454,24.473524568853453,20110.0
19,1039,37765,36.64881,42.4,12.487753210644776,1.2789620018535681,24.882828015358136,24623.0
20,1041,13906,22.84016,40.7,23.399971235437942,1.466992665036675,22.644901481374944,21337.0
21,1043,80406,109.4197,39.9,1.06459716936547,4.2956993259209515,22.309280401960052,24163.0
22,1045,50251,89.55006999999999,36.1,19.261308232671986,5.6138186304750155,19.09414738015164,24767.0
23,1047,43820,44.77393,37.7,69.42720219078046,0.7051574623459608,20.006846188954817,20682.0
24,1049,71109,91.50639,37.5,1.5159825057306389,13.626967050584316,19.883559043159092,21951.0
25,1051,79303,128.2215,37.8,20.049682861934606,2.6846399253496087,17.631111055067272,29988.0
26,1053,38319,40.545759999999994,39.2,31.890185025705264,1.8737440956183615,20.968710039406037,22986.0
27,1055,104430,195.1997,40.2,15.125921670018194,3.3007756391841427,22.405439050081394,23677.0
28,1057,17241,27.4687,42.5,11.420451249927499,1.1832260309726814,24.70274346035613,21529.0
29,1059,31704,50.02047,37.8,3.8733282866515264,14.856169568508706,20.811254100428968,24210.0
30,1061,26790,46.6393,42.0,9.477416946621874,3.434117207913401,24.341172079134004,22376.0
31,1063,9045,13.977529999999998,41.8,81.48148148148148,0.7628524046434495,22.620232172470978,16949.0
32,1065,15760,24.47423,40.0,59.01649746192893,0.8883248730964468,21.237309644670052,19167.0
33,1067,17302,30.80017,42.8,28.563171887643048,2.248294994798289,25.459484452664434,23973.0
34,1069,101547,175.1341,38.5,25.777226308999772,2.9493731966478576,20.34328931430766,25191.0
35,1071,53227,49.38175,41.4,3.3460461795705188,2.515640558363237,23.219418716065153,24004.0
36,1073,658466,592.5313,37.1,41.99533461105053,3.870814894011232,18.588962831793896,29369.0
37,1075,14564,24.07884,43.5,11.28124141719308,1.2359241966492722,25.72095578137874,21355.0
38,1077,92709,138.8489,40.4,9.985006849388949,2.24573665987121,23.0495421156522,26007.0
39,1079,34339,49.71785,40.6,11.468010134249687,1.671568770202976,21.04895308541309,24698.0
40,1081,140247,230.8456,29.5,22.746297603513803,3.259249752222864,13.51829272640413,25439.0
