,id,median_age,pop,african_american,median_income,area,pop_density
86,02195,42.8,3257,33,28653.0,3281.98,0.9923887409429674
87,02198,41.3,6407,29,23921.0,3922.87,1.6332430083076932
88,02220,39.5,8640,80,38659.0,2870.34,3.01009636489057
89,02230,40.4,1107,44,35662.0,452.33,2.447328278027104
90,02240,36.8,6878,45,29888.0,24768.81,0.2776879470592249
91,02261,38.1,9243,35,36760.0,34239.88,0.26994837598729904
92,02275,49.4,2502,1,27083.0,2541.48,0.9844657443694226
93,02282,36.9,649,5,32159.0,7649.46,0.08484259019590926
94,02290,35.2,5377,4,19238.0,145504.79,0.036954109895626114
95,04001,35.0,71511,373,20596.0,11197.52,6.386324829069293
96,04003,41.1,125867,5132,25573.0,6165.69,20.414098016604793
97,04005,30.7,141274,1742,25094.0,18618.89,7.587670371327184
98,04007,50.2,53546,375,24681.0,4757.93,11.254053758672363
99,04009,33.6,37996,744,24123.0,4622.6,8.219616665945571
100,04011,34.5,9522,209,31420.0,1843.13,5.166211824450798
101,04012,56.5,20793,200,20561.0,4499.63,4.621046619388705
102,04013,36.4,4328810,243640,32158.0,9200.14,470.5156660659512
103,04015,51.6,207695,2217,24105.0,13311.08,15.603166685197595
104,04017,37.3,109270,1005,21256.0,9950.42,10.98144600931418
105,04019,38.5,1027207,36581,27279.0,9187.04,111.81044166565073
106,04021,39.3,432793,18915,28080.0,5365.61,80.66053999452066
107,04023,36.7,46480,301,22538.0,1236.92,37.57720790350225
108,04025,53.4,228067,1495,26689.0,8123.5,28.074967686342095
109,04027,34.6,209468,4533,24291.0,5513.99,37.9884620755569
110,05001,40.7,17914,4636,25843.0,988.77,18.117459065303358
111,05003,41.7,20270,5150,23462.0,925.35,21.905225049981087
112,05005,52.2,41427,67,23819.0,554.28,74.74020350725266
113,05007,35.4,265759,4541,33141.0,847.36,313.6317503776435
114,05009,42.3,37331,125,23999.0,590.23,63.24822526811582
115,05011,40.6,10874,3135,26213.0,649.23,16.749071977573433
116,05013,44.5,5192,1125,23725.0,628.58,8.259887365172293
117,05015,45.0,27965,289,24466.0,630.09,44.38254852481391
118,05017,43.3,10615,5724,19980.0,644.3,16.475244451342544
119,05019,33.7,22386,5434,20430.0,866.07,25.84779521285808
120,05021,42.8,14889,100,21479.0,639.47,23.283344019265954
121,05023,49.4,25100,98,24984.0,553.69,45.3322256136105
122,05025,42.9,8128,1040,25617.0,597.78,13.5969754759276
123,05027,35.7,23776,8592,19812.0,766.05,31.037138567978594
124,05029,42.5,20858,2167,23023.0,552.25,37.76912630149389
125,05031,34.2,107345,15614,25852.0,707.21,151.78659804018608
126,05033,38.6,62739,993,25758.0,593.09,105.78327066718373
127,05035,35.2,48672,23352,23938.0,609.76,79.8215691419575
128,05037,40.9,16824,3141,25915.0,616.38,27.294850579188164
129,05039,43.9,7279,3148,21699.0,667.39,10.906666267100196
130,05041,40.1,11709,5456,21551.0,768.15,15.243116578793204
131,05043,37.4,18417,5289,24236.0,828.36,22.233087063595537
132,05045,32.8,123624,14094,27130.0,647.88,190.81311353954436
133,05047,41.2,17738,174,22283.0,608.86,29.13313405380547
134,05049,48.4,12231,58,18328.0,618.19,19.785179313803198
135,05051,45.0,98555,8092,24589.0,677.78,145.40853964413233
136,05053,41.0,18126,482,27153.0,631.81,28.689004605815043
137,05055,38.0,44937,864,24559.0,577.7,77.78604812186255
138,05057,40.4,21842,6582,23079.0,727.52,30.022542335605895
139,05059,41.3,33597,3834,22711.0,615.2,54.61150845253576
140,05061,39.2,13311,2779,22610.0,588.55,22.616600118936372
141,05063,39.3,37427,720,22541.0,763.95,48.991426140454216
142,05065,47.9,13570,248,21763.0,580.58,23.37317854559234
143,05067,39.7,17027,2091,19012.0,633.94,26.859008738997378
144,05069,38.7,69282,39165,24282.0,870.75,79.56589147286822
145,05071,38.4,26372,421,20955.0,659.8,39.969687784177026
146,05073,47.0,6800,2448,21109.0,528.27,12.87220550097488
147,05075,40.8,16549,186,20692.0,587.61,28.16323752148534
148,05077,42.5,9194,5108,17433.0,602.62,15.256712356045268
149,05079,39.0,13455,4106,21875.0,561.52,23.961746687562332
150,05081,42.9,12347,2710,25886.0,532.25,23.197745420385157
151,05083,42.0,21668,298,21690.0,708.13,30.598901331676387
152,05085,36.2,72528,4110,30896.0,770.73,94.10299326612432
153,05087,42.7,16211,49,22565.0,834.26,19.431592069618585
154,05089,52.2,16476,80,19980.0,597.01,27.597527679603356
155,05091,39.5,43572,10789,24076.0,625.58,69.65056427635155
156,05093,36.6,42126,14212,22045.0,900.57,46.77704120723541
157,05095,47.3,7050,3030,22568.0,607.12,11.612201871129265
158,05097,50.4,8950,30,20328.0,779.88,11.476124531979279
159,05099,44.3,8351,2884,23031.0,617.84,13.516444386896284
160,05101,49.0,7812,2,19494.0,820.9,9.516384456084785
161,05103,43.0,23830,9923,21126.0,732.78,32.51999235787003
162,05105,43.7,10355,69,22924.0,551.4,18.779470438882843
163,05107,38.9,18606,11750,20294.0,695.66,26.745824109478768
164,05109,43.1,10756,439,22055.0,600.62,17.908161566381406
165,05111,40.1,23896,1093,22119.0,758.39,31.508854283416184
166,05113,43.9,20094,95,20349.0,857.68,23.42831825389423
167,05115,35.3,63761,1909,21502.0,812.55,78.4702479847394
168,05117,47.2,8189,1017,26857.0,647.96,12.638125810235199
169,05119,37.2,392967,144802,30084.0,759.76,517.2251763714858
170,05121,41.1,17695,192,21347.0,652.19,27.13166408561922
171,05123,38.8,25900,13845,19988.0,634.77,40.802180317280275
172,05125,39.6,119415,8518,31869.0,723.6,165.0290215588723
173,05127,40.7,10376,25,20376.0,892.32,11.62811547426932
174,05129,47.9,7908,48,19255.0,666.1,11.872091277585948
175,05131,37.6,127591,8642,25248.0,531.91,239.87328683423888
176,05133,35.3,17081,827,24010.0,565.13,30.22490400438837
177,05135,47.6,17139,143,19852.0,604.44,28.35517172920389
178,05137,50.1,12475,11,18521.0,606.41,20.57189030523903
179,05139,40.3,39449,12887,24325.0,1039.21,37.96056619932448
180,05141,48.0,16642,101,20302.0,708.14,23.50100262659926
181,05143,32.0,232289,8545,27431.0,941.97,246.59914859284265
182,05145,36.9,78762,3434,23470.0,1035.08,76.09266916566835
183,05147,45.5,6533,1839,22792.0,586.79,11.133454898686072
184,05149,40.3,21464,526,23158.0,929.98,23.080066237983612
185,06001,37.6,1656754,175751,43583.0,739.02,2241.8256610105277
186,06003,52.2,1039,9,30512.0,738.33,1.4072298294800427
187,06005,50.5,38429,904,31160.0,594.58,64.63217733526186
188,06007,37.1,225817,3461,24067.0,1636.46,137.99115163218167
189,06009,52.0,45514,315,29124.0,1020.01,44.62113116538073
190,06011,35.3,21454,327,27103.0,1150.73,18.643817402866006
191,06013,39.7,1142251,99642,42181.0,715.94,1595.4563231555717
192,06015,39.5,27495,940,23493.0,1006.37,27.320965450082973
193,06017,45.9,188563,1516,36682.0,1707.88,110.40763988102208
194,06019,32.2,984521,46782,25238.0,5957.99,165.24381544782722
195,06021,36.4,27976,230,24329.0,1313.95,21.291525552722707
196,06023,38.4,135940,1506,25114.0,3567.99,38.09988256693545
197,06025,32.4,180701,4489,18245.0,4176.6,43.26509601110951
198,06027,45.8,17977,153,31566.0,10180.88,1.7657609165415957
199,06029,31.6,887641,48550,25013.0,8131.92,109.15515646981278
200,06031,31.8,150691,9642,26841.0,1389.42,108.45604640785363
201,06033,45.6,64195,1447,25172.0,1256.46,51.09195676742594
202,06035,36.6,30818,2686,30814.0,4541.18,6.786341875900096
203,06037,36.5,10081570,820478,29985.0,4057.88,2484.4426153558015
204,06039,34.1,155433,4949,23691.0,2137.07,72.7318244138002
205,06041,46.8,259943,5767,52866.0,520.31,499.59255059483775
206,06043,51.7,17420,253,27678.0,1448.82,12.023577808147321
207,06045,43.1,87224,628,26784.0,3506.34,24.87608161216539
208,06047,31.1,271382,8645,24873.0,1934.97,140.25127004553042
209,06049,47.8,8907,136,25106.0,3917.77,2.2734872133892496
210,06051,37.7,14310,111,30701.0,3048.98,4.69337286567967
211,06053,34.4,433410,11367,28207.0,3280.6,132.113028104615
212,06055,41.3,139623,2883,37953.0,748.36,186.5719707092843
213,06057,50.5,99244,570,32359.0,957.77,103.61986698267852
214,06059,38.1,3168044,55591,36135.0,790.57,4007.2909419785724
215,06061,42.0,385512,6626,41130.0,1407.01,273.9937882459968
216,06063,52.3,18660,166,31351.0,2553.04,7.308933663397362
217,06065,35.6,2411439,156836,28557.0,7206.48,334.6209245012822
218,06067,36.2,1524553,149891,32275.0,964.64,1580.4372615690827
219,06069,35.7,60376,491,33547.0,1388.71,43.476319749983794
220,06071,33.3,2149031,179292,27235.0,20056.94,107.14650390338707
221,06073,35.8,3316073,166750,34307.0,4206.63,788.2968076583869
222,06075,38.2,874961,45556,52677.0,46.87,18667.825901429485
223,06077,34.3,742603,51931,29535.0,1391.32,533.7399016761061
224,06079,39.2,282165,5319,31938.0,3298.57,85.54161348705651
225,06081,39.7,767423,17784,49128.0,448.41,1711.4315024196605
226,06083,33.8,444829,8984,29657.0,2735.09,162.63779254064764
227,06085,37.1,1927470,47992,47584.0,1290.1,1494.0469731028604
228,06087,37.8,273962,2904,31174.0,445.17,615.4098434305995
229,06089,41.5,179212,2088,27000.0,3775.4,47.4683477247444
230,06091,54.8,3040,2,28138.0,953.21,3.1892237806989017
231,06093,47.8,43468,695,25576.0,6277.89,6.92398242084522
232,06095,38.1,441829,61526,36273.0,821.77,537.6553050123514
233,06097,42.1,499772,8269,36623.0,1575.85,317.14439826125584
234,06099,34.1,543194,16547,27840.0,1494.83,363.3817892335583
235,06101,35.7,96109,1827,26334.0,602.41,159.54084427549344
236,06103,41.0,63912,530,23061.0,2949.71,21.667214743144243
237,06105,52.5,12700,127,23901.0,3179.25,3.994652826924589
238,06107,31.0,461898,7201,22994.0,4824.22,95.74563349100994
239,06109,48.4,54045,984,29458.0,2220.88,24.3349483087785
240,06111,38.1,847263,15594,33814.0,1843.13,459.6870540873405
241,06113,31.0,217352,5847,30331.0,1014.69,214.20532379347387
242,06115,32.8,76360,2621,27877.0,631.84,120.85338060268421
243,08001,33.8,504108,17014,34088.0,1167.65,431.72868582195
244,08003,31.8,16107,144,21241.0,722.64,22.289106609099967
245,08005,36.6,644560,69853,38273.0,798.1,807.6180929708056
246,08007,50.9,13253,230,26314.0,1350.18,9.815728273267268
247,08009,46.0,3561,34,23096.0,2554.97,1.393754134099422
248,08011,40.2,5787,238,20260.0,1512.86,3.8252052404055896
249,08013,36.6,322510,2944,36794.0,726.29,444.0512742843768
250,08014,37.8,67886,875,47013.0,33.03,2055.2830759915228
251,08015,49.2,19557,330,30011.0,1013.4,19.29840142095915
252,08017,39.4,2026,2,32727.0,1778.28,1.1393031468610118
253,08019,48.1,9495,114,34483.0,395.23,24.023986033448878
254,08021,38.8,8128,40,20882.0,1287.39,6.313549118759661
255,08023,51.9,3745,14,18902.0,1226.95,3.05228411915726
256,08025,35.4,5754,203,18032.0,787.42,7.307409006629245
257,08027,59.7,4776,138,26669.0,738.63,6.466024938061005
258,08029,47.3,30565,367,25880.0,1142.05,26.76327656407338
259,08031,34.5,705576,65215,39806.0,153.0,4611.607843137255
260,08033,48.8,1857,0,29894.0,1067.05,1.740312075347922
261,08035,38.7,336041,4874,52910.0,840.25,399.9297828027373
262,08037,37.0,54681,642,38850.0,1684.53,32.46068636355541
263,08039,46.1,25717,110,42429.0,1850.85,13.894697031093822
264,08041,34.2,698974,44801,32586.0,2126.8,328.6505548241489
265,08043,45.1,47321,2177,26243.0,1533.07,30.86682278043403
266,08045,36.5,59055,286,36618.0,2947.56,20.03521556813093
267,08047,49.0,6018,20,44683.0,149.9,40.14676450967311
268,08049,42.9,15303,172,35000.0,1846.33,8.288334154782731
269,08051,34.5,16802,95,28016.0,3239.1,5.187243370071934
270,08053,56.1,857,0,30847.0,1117.25,0.767061982546431
